row_type,dataset,scene,variant,strict_required_metric_complete,lpips_skipped,image_key,train_mean_reflection_consistency,train_reflective_region_psnr,train_num_pairs,train_valid_pair_count,train_full_psnr,train_full_ssim,train_full_lpips,train_reflective_psnr,train_reflective_ssim,train_reflective_lpips,train_num_images,test_mean_reflection_consistency,test_reflective_region_psnr,test_num_pairs,test_valid_pair_count,test_full_psnr,test_full_ssim,test_full_lpips,test_reflective_psnr,test_reflective_ssim,test_reflective_lpips,test_num_images,complete_models,expected_models
model,shiny_blender_synthetic,ball,wo_ref,True,False,pbr_rgb,0.17000184431672097,37.658057022094724,10,10,40.644345893859864,0.9916635847091675,0.03222846500575542,40.86597549438476,0.9920967197418213,0.025666259033605456,100,0.04855797253549099,32.37107181549072,10,10,38.31283218383789,0.9878258275985717,0.03667754715308547,38.439133434295655,0.9882521271705628,0.030645164186134933,200,,
model,shiny_blender_synthetic,ball,wo_conf,True,False,pbr_rgb,0.16729665473103522,37.18550491333008,10,10,40.4266792678833,0.9917367428541184,0.03230789775028825,40.71862602233887,0.9925452488660812,0.02206774104386568,100,0.04714860953390598,33.35659484863281,10,10,38.35246768951416,0.988108543753624,0.03676408227533102,38.53511009216309,0.9890693381428719,0.025317261912859976,200,,
model,shiny_blender_synthetic,ball,rough_only,True,False,pbr_rgb,0.169089861959219,38.079153060913086,10,10,40.90653297424316,0.9917780125141143,0.03205880705267191,41.13626712799072,0.9921992123126984,0.025091105466708542,100,0.0486237172037363,34.015917205810545,10,10,38.56359674453736,0.9880595237016678,0.036503137405961755,38.69833808898926,0.9885399156808853,0.029125903034582734,200,,
model,shiny_blender_synthetic,car,wo_ref,True,False,pbr_rgb,0.3498593010008335,31.029361152648924,10,10,36.85416862487793,0.9858781731128693,0.008795943539589644,38.34574028015137,0.989543439745903,0.005672721827868372,100,0.08750245831906796,27.554748153686525,10,10,31.582597904205322,0.9674293464422226,0.01851381566841155,33.09063928604126,0.9769742891192437,0.01275000545894727,200,,
model,shiny_blender_synthetic,car,wo_conf,True,False,pbr_rgb,0.18725216947495937,30.91968936920166,10,10,36.74820766448975,0.985584386587143,0.008957239803858102,38.19850826263428,0.989311665892601,0.005699948437977582,100,0.0709311157464981,27.582256698608397,10,10,31.541541261672975,0.9670378991961479,0.018742215833626688,32.98028678894043,0.9764485362172127,0.012880065955687314,200,,
model,shiny_blender_synthetic,car,rough_only,True,False,pbr_rgb,0.32922439426183703,31.09470157623291,10,10,36.83535648345947,0.9856621325016022,0.008981710700318217,37.97784103393555,0.9888836109638214,0.0063340073521248996,100,0.08963679447770119,27.827952575683593,10,10,31.557480535507203,0.9671958157420159,0.01872617092449218,32.61608051300049,0.9751848185062408,0.014169528833590447,200,,
model,shiny_blender_synthetic,coffee,wo_ref,True,False,pbr_rgb,0.050770715717226265,36.59847717285156,10,10,38.89383190155029,0.9832212567329407,0.03478006830438971,42.658131484985354,0.9913387393951416,0.010072648632340133,100,0.0074028920382261275,30.352484893798827,10,10,34.538765602111816,0.974239036142826,0.04688316706568003,37.21630874633789,0.9850527361035347,0.014053118934389203,200,,
model,shiny_blender_synthetic,coffee,wo_conf,True,False,pbr_rgb,0.028463229024782776,36.55188903808594,10,10,39.010720100402835,0.9833093690872192,0.03454790838062763,42.57434902191162,0.9913648015260696,0.010030104122124612,100,0.0063940855674445626,30.762211036682128,10,10,34.82175147056579,0.9748202705383301,0.04583417269401252,37.38252042770386,0.9856696113944053,0.013157577575184405,200,,
model,shiny_blender_synthetic,coffee,rough_only,True,False,pbr_rgb,0.0530368885025382,35.97505683898926,10,10,39.12667953491211,0.9836577814817429,0.03407414449378848,42.25932460784912,0.991818020939827,0.009377239672467112,100,0.007932955538854003,30.968200302124025,10,10,34.57540648460388,0.9745379665493965,0.0461195198725909,36.684297466278075,0.9852867868542671,0.013748239236883819,200,,
model,shiny_blender_synthetic,helmet,wo_ref,True,False,pbr_rgb,0.3578144133090973,37.10995674133301,10,10,40.080345726013185,0.99345099568367,0.006400649398565292,40.83029758453369,0.9941049808263779,0.005017270972020924,100,0.16892162412405015,35.8431396484375,10,10,35.72310401916504,0.9851257902383804,0.014689000330399722,36.36951149940491,0.9870846459269523,0.011267645002808422,200,,
