dataset,variant,complete_models,expected_models,train_mean_reflection_consistency_mean,train_mean_reflection_consistency_paired_rc_mean,train_mean_reflection_consistency_delta_ablation_minus_rc,train_mean_reflection_consistency_relation_to_rc,train_reflective_region_psnr_mean,train_reflective_region_psnr_paired_rc_mean,train_reflective_region_psnr_delta_ablation_minus_rc,train_reflective_region_psnr_relation_to_rc,train_full_psnr_mean,train_full_psnr_paired_rc_mean,train_full_psnr_delta_ablation_minus_rc,train_full_psnr_relation_to_rc,train_full_ssim_mean,train_full_ssim_paired_rc_mean,train_full_ssim_delta_ablation_minus_rc,train_full_ssim_relation_to_rc,train_full_lpips_mean,train_full_lpips_paired_rc_mean,train_full_lpips_delta_ablation_minus_rc,train_full_lpips_relation_to_rc,train_reflective_psnr_mean,train_reflective_psnr_paired_rc_mean,train_reflective_psnr_delta_ablation_minus_rc,train_reflective_psnr_relation_to_rc,train_reflective_ssim_mean,train_reflective_ssim_paired_rc_mean,train_reflective_ssim_delta_ablation_minus_rc,train_reflective_ssim_relation_to_rc,train_reflective_lpips_mean,train_reflective_lpips_paired_rc_mean,train_reflective_lpips_delta_ablation_minus_rc,train_reflective_lpips_relation_to_rc,test_mean_reflection_consistency_mean,test_mean_reflection_consistency_paired_rc_mean,test_mean_reflection_consistency_delta_ablation_minus_rc,test_mean_reflection_consistency_relation_to_rc,test_reflective_region_psnr_mean,test_reflective_region_psnr_paired_rc_mean,test_reflective_region_psnr_delta_ablation_minus_rc,test_reflective_region_psnr_relation_to_rc,test_full_psnr_mean,test_full_psnr_paired_rc_mean,test_full_psnr_delta_ablation_minus_rc,test_full_psnr_relation_to_rc,test_full_ssim_mean,test_full_ssim_paired_rc_mean,test_full_ssim_delta_ablation_minus_rc,test_full_ssim_relation_to_rc,test_full_lpips_mean,test_full_lpips_paired_rc_mean,test_full_lpips_delta_ablation_minus_rc,test_full_lpips_relation_to_rc,test_reflective_psnr_mean,test_reflective_psnr_paired_rc_mean,test_reflective_psnr_delta_ablation_minus_rc,test_reflective_psnr_relation_to_rc,test_reflective_ssim_mean,test_reflective_ssim_paired_rc_mean,test_reflective_ssim_delta_ablation_minus_rc,test_reflective_ssim_relation_to_rc,test_reflective_lpips_mean,test_reflective_lpips_paired_rc_mean,test_reflective_lpips_delta_ablation_minus_rc,test_reflective_lpips_relation_to_rc
shiny_blender_synthetic,wo_ref,6,6,0.21180515233427286,0.09923632875240097,0.11256882358187188,degrades_relative_to_rc,35.50198593139648,35.44624354044596,0.05574239095052036,preserves_or_improves_relative_to_rc,39.97413413047791,39.997352027893065,-0.023217897415158006,degrades_relative_to_rc,0.9885532344381014,0.9885230180621147,3.021637598665805e-05,preserves_or_improves_relative_to_rc,0.018039178367374308,0.018059345418102262,-2.0167050727954577e-05,preserves_or_improves_relative_to_rc,41.602831020355225,41.40555955568949,0.1972714646657323,preserves_or_improves_relative_to_rc,0.9929313226540883,0.9927345309654871,0.00019679168860120555,preserves_or_improves_relative_to_rc,0.009892355656387129,0.010082604786051282,-0.00019024912966415265,preserves_or_improves_relative_to_rc,0.07545600383697698,0.033585937484167515,0.04187006635280947,degrades_relative_to_rc,31.39551493326823,31.13203713099162,0.26347780227661133,preserves_or_improves_relative_to_rc,35.642333084742226,35.73115963459015,-0.08882654984792282,degrades_relative_to_rc,0.9770388684173424,0.9770287356277307,1.0132789611705384e-05,preserves_or_improves_relative_to_rc,0.029530830781101636,0.029507942919590278,2.2887861511357993e-05,degrades_relative_to_rc,36.887973426183066,36.86138063589732,0.026592790285747014,preserves_or_improves_relative_to_rc,0.9844267472128073,0.9841835685571034,0.00024317865570389063,preserves_or_improves_relative_to_rc,0.017958168825110383,0.018261763436651868,-0.0003035946115414849,preserves_or_improves_relative_to_rc
shiny_blender_synthetic,wo_conf,6,6,0.10944761099138607,0.09923632875240097,0.010211282238985098,degrades_relative_to_rc,35.26385898590088,35.44624354044596,-0.18238455454508085,degrades_relative_to_rc,39.91046457290649,39.997352027893065,-0.08688745498657369,degrades_relative_to_rc,0.9885070237517357,0.9885230180621147,-1.599431037901944e-05,degrades_relative_to_rc,0.01809565032851727,0.018059345418102262,3.630491041500816e-05,degrades_relative_to_rc,41.498613080978394,41.40555955568949,0.09305352528890154,preserves_or_improves_relative_to_rc,0.9929619072874387,0.9927345309654871,0.00022737632195157786,preserves_or_improves_relative_to_rc,0.009293798628690031,0.010082604786051282,-0.0007888061573612503,preserves_or_improves_relative_to_rc,0.03864469725328187,0.033585937484167515,0.0050587597691143585,degrades_relative_to_rc,31.467753442128497,31.13203713099162,0.3357163111368777,preserves_or_improves_relative_to_rc,35.64995491663615,35.73115963459015,-0.08120471795400164,degrades_relative_to_rc,0.9769110878308614,0.9770287356277307,-0.00011764779686929128,degrades_relative_to_rc,0.02973299187894251,0.029507942919590278,0.0002250489593522316,degrades_relative_to_rc,36.874269989331566,36.86138063589732,0.012889353434246686,preserves_or_improves_relative_to_rc,0.984405638674895,0.9841835685571034,0.00022207011779151742,preserves_or_improves_relative_to_rc,0.01717010971995478,0.018261763436651868,-0.0010916537166970885,preserves_or_improves_relative_to_rc
shiny_blender_synthetic,rough_only,6,6,0.19319159153383225,0.09923632875240097,0.09395526278143128,degrades_relative_to_rc,35.313420454661056,35.44624354044596,-0.13282308578490643,degrades_relative_to_rc,39.9627473449707,39.997352027893065,-0.03460468292236385,degrades_relative_to_rc,0.9885861658056577,0.9885230180621147,6.314774354299058e-05,preserves_or_improves_relative_to_rc,0.01798929097742075,0.018059345418102262,-7.005444068151206e-05,preserves_or_improves_relative_to_rc,41.36411877632141,41.40555955568949,-0.04144077936808088,degrades_relative_to_rc,0.9928954441348712,0.9927345309654871,0.0001609131693840471,preserves_or_improves_relative_to_rc,0.009786465628033815,0.010082604786051282,-0.00029613915801746625,preserves_or_improves_relative_to_rc,0.06957012750208377,0.033585937484167515,0.03598419001791626,degrades_relative_to_rc,31.617156887054442,31.13203713099162,0.4851197560628222,preserves_or_improves_relative_to_rc,35.616543429692584,35.73115963459015,-0.11461620489756541,degrades_relative_to_rc,0.9768282643953959,0.9770287356277307,-0.0002004712323347979,degrades_relative_to_rc,0.029734810318089635,0.029507942919590278,0.00022686739849935716,degrades_relative_to_rc,36.64806939442953,36.86138063589732,-0.21331124146779246,degrades_relative_to_rc,0.9839867821335793,0.9841835685571034,-0.00019678642352416453,degrades_relative_to_rc,0.0181130615236907,0.018261763436651868,-0.00014870191296116608,preserves_or_improves_relative_to_rc
glossy_synthetic,wo_ref,8,8,0.17445868374779822,0.15684435935691,0.017614324390888225,degrades_relative_to_rc,26.341012358665466,26.386840963363646,-0.04582860469817973,degrades_relative_to_rc,32.88893705180713,33.00418025893825,-0.11524320713111535,degrades_relative_to_rc,0.9737142964399287,0.9744548842177859,-0.0007405877778572378,degrades_relative_to_rc,0.035163897081344785,0.034053431038046256,0.0011104660432985289,degrades_relative_to_rc,34.14033387388502,34.13231866274561,0.008015211139408507,preserves_or_improves_relative_to_rc,0.9801796419279916,0.9802358129194805,-5.6170991488913025e-05,degrades_relative_to_rc,0.024096338972282996,0.023735924434731714,0.00036041453755128114,degrades_relative_to_rc,0.1798745750915259,0.15946635333821177,0.020408221753314137,degrades_relative_to_rc,24.311390352249145,24.359107542037965,-0.04771718978881978,degrades_relative_to_rc,30.163601741194725,30.21937519311905,-0.055773451924324036,degrades_relative_to_rc,0.9567342675291002,0.9574606386013329,-0.0007263710722327232,degrades_relative_to_rc,0.04378924088086933,0.042769070802023634,0.0010201700788456947,degrades_relative_to_rc,31.46579457819462,31.37676790356636,0.08902667462825775,preserves_or_improves_relative_to_rc,0.968752515502274,0.968180850148201,0.0005716653540730476,preserves_or_improves_relative_to_rc,0.031140419458097313,0.031232604051183444,-9.218459308613092e-05,preserves_or_improves_relative_to_rc
glossy_synthetic,wo_conf,8,8,0.15992845837026834,0.15684435935691,0.003084099013358349,degrades_relative_to_rc,26.352376079559328,26.386840963363646,-0.03446488380431845,degrades_relative_to_rc,32.895391087446896,33.00418025893825,-0.10878917149135248,degrades_relative_to_rc,0.9736595936119556,0.9744548842177859,-0.0007952906058302789,degrades_relative_to_rc,0.035251135587584165,0.034053431038046256,0.001197704549537909,degrades_relative_to_rc,34.176524439028334,34.13231866274561,0.044205776282723264,preserves_or_improves_relative_to_rc,0.9800136812430408,0.9802358129194805,-0.00022213167643969634,degrades_relative_to_rc,0.024235543362530212,0.023735924434731714,0.000499618927798498,degrades_relative_to_rc,0.16726634963415563,0.15946635333821177,0.007799996295943856,degrades_relative_to_rc,24.291162776947022,24.359107542037965,-0.06794476509094238,degrades_relative_to_rc,30.134391993284225,30.21937519311905,-0.08498319983482361,degrades_relative_to_rc,0.9564330391585827,0.9574606386013329,-0.0010275994427502155,degrades_relative_to_rc,0.043949542567133904,0.042769070802023634,0.0011804717651102692,degrades_relative_to_rc,31.42983829975128,31.37676790356636,0.053070396184921265,preserves_or_improves_relative_to_rc,0.9682827927172184,0.968180850148201,0.00010194256901741028,preserves_or_improves_relative_to_rc,0.031484010396525264,0.031232604051183444,0.00025140634534182027,degrades_relative_to_rc
glossy_synthetic,rough_only,8,8,0.175582115072757,0.15684435935691,0.018737755715847015,degrades_relative_to_rc,26.264969444274904,26.386840963363646,-0.12187151908874228,degrades_relative_to_rc,32.928192785808015,33.00418025893825,-0.07598747313023324,degrades_relative_to_rc,0.9737364493443498,0.9744548842177859,-0.0007184348734361468,degrades_relative_to_rc,0.035227579935703295,0.034053431038046256,0.0011741488976570388,degrades_relative_to_rc,34.039422599332674,34.13231866274561,-0.09289606341293677,degrades_relative_to_rc,0.9802237184319113,0.9802358129194805,-1.2094487569225265e-05,degrades_relative_to_rc,0.02426001963924916,0.023735924434731714,0.0005240952045174468,degrades_relative_to_rc,0.18067174167372285,0.15946635333821177,0.021205388335511083,degrades_relative_to_rc,24.24244463443756,24.359107542037965,-0.11666290760040354,degrades_relative_to_rc,30.186743333935738,30.21937519311905,-0.03263185918331146,degrades_relative_to_rc,0.9565872251987457,0.9574606386013329,-0.0008734134025871754,degrades_relative_to_rc,0.04395361150091048,0.042769070802023634,0.001184540698886849,degrades_relative_to_rc,31.342510998249054,31.37676790356636,-0.03425690531730652,degrades_relative_to_rc,0.9682444971986115,0.968180850148201,6.364705041050911e-05,preserves_or_improves_relative_to_rc,0.03142245165508939,0.031232604051183444,0.00018984760390594602,degrades_relative_to_rc
