dataset,scene,base_train_mean_reflection_consistency,rc_train_mean_reflection_consistency,train_mean_reflection_consistency_delta_rc_minus_base,rc_wins_train_mean_reflection_consistency,base_train_reflective_region_psnr,rc_train_reflective_region_psnr,train_reflective_region_psnr_delta_rc_minus_base,rc_wins_train_reflective_region_psnr,base_train_full_psnr,rc_train_full_psnr,train_full_psnr_delta_rc_minus_base,rc_wins_train_full_psnr,base_train_full_ssim,rc_train_full_ssim,train_full_ssim_delta_rc_minus_base,rc_wins_train_full_ssim,base_train_full_lpips,rc_train_full_lpips,train_full_lpips_delta_rc_minus_base,rc_wins_train_full_lpips,base_train_reflective_psnr,rc_train_reflective_psnr,train_reflective_psnr_delta_rc_minus_base,rc_wins_train_reflective_psnr,base_train_reflective_ssim,rc_train_reflective_ssim,train_reflective_ssim_delta_rc_minus_base,rc_wins_train_reflective_ssim,base_train_reflective_lpips,rc_train_reflective_lpips,train_reflective_lpips_delta_rc_minus_base,rc_wins_train_reflective_lpips,base_test_mean_reflection_consistency,rc_test_mean_reflection_consistency,test_mean_reflection_consistency_delta_rc_minus_base,rc_wins_test_mean_reflection_consistency,base_test_reflective_region_psnr,rc_test_reflective_region_psnr,test_reflective_region_psnr_delta_rc_minus_base,rc_wins_test_reflective_region_psnr,base_test_full_psnr,rc_test_full_psnr,test_full_psnr_delta_rc_minus_base,rc_wins_test_full_psnr,base_test_full_ssim,rc_test_full_ssim,test_full_ssim_delta_rc_minus_base,rc_wins_test_full_ssim,base_test_full_lpips,rc_test_full_lpips,test_full_lpips_delta_rc_minus_base,rc_wins_test_full_lpips,base_test_reflective_psnr,rc_test_reflective_psnr,test_reflective_psnr_delta_rc_minus_base,rc_wins_test_reflective_psnr,base_test_reflective_ssim,rc_test_reflective_ssim,test_reflective_ssim_delta_rc_minus_base,rc_wins_test_reflective_ssim,base_test_reflective_lpips,rc_test_reflective_lpips,test_reflective_lpips_delta_rc_minus_base,rc_wins_test_reflective_lpips
shiny_blender_synthetic,ball,0.1712649494409561,0.16639908850193025,-0.004865860939025857,True,37.80105285644531,38.0914852142334,0.2904323577880916,True,40.853722953796385,40.98823234558105,0.13450939178466825,True,0.9917829132080078,0.99187539935112,9.24861431121915e-05,True,0.03182963490486145,0.03142021274194121,-0.00040942216292023936,True,41.106985206604,41.212551002502444,0.10556579589844262,True,0.9923985570669174,0.9922647655010224,-0.00013379156589499175,False,0.022803996801376344,0.025591788878664375,0.002787792077288031,False,0.04955095089972019,0.04815337359905243,-0.0013975773006677586,True,32.91583442687988,32.86421661376953,-0.051617813110354405,False,38.510990924835205,38.56738069534302,0.05638977050781335,True,0.987964893579483,0.9880351668596268,7.027328014375112e-05,True,0.03660521083511412,0.03631578991189599,-0.00028942092321813245,True,38.670911960601806,38.69281721115112,0.02190525054931669,True,0.9886962255835533,0.9884553492069245,-0.0002408763766288402,False,0.026680906168185175,0.03098766357637942,0.004306757408194244,False
shiny_blender_synthetic,car,0.3124761778861284,0.14267089404165745,-0.16980528384447097,True,31.032323265075682,30.994008827209473,-0.038314437866208806,False,36.740454483032224,36.506158142089845,-0.23429634094237883,False,0.985656060576439,0.9855352431535721,-0.00012081742286684793,False,0.009061134201474488,0.009082854804582895,2.1720603108406344e-05,False,38.13613090515137,37.908733406066894,-0.22739749908447493,False,0.9891319018602371,0.9888956397771835,-0.00023626208305360663,False,0.005930654965341091,0.006323579330928624,0.0003929243655875327,False,0.08607344292104244,0.04824239648878574,-0.037831046432256696,True,27.51102466583252,27.844405364990234,0.33338069915771484,True,31.468172369003295,31.449704580307007,-0.018467788696288068,False,0.9670810526609421,0.9674327671527863,0.00035171449184412396,True,0.01884200408589095,0.018566444418393075,-0.00027555966749787456,True,32.816805353164675,32.916545209884646,0.09973985671997099,True,0.9758946678042412,0.9761832144856453,0.00028854668140410045,True,0.013123404181096704,0.013805410424247384,0.0006820062431506808,False
shiny_blender_synthetic,coffee,0.05388578325510025,0.02222995525225997,-0.03165582800284028,True,35.920494079589844,35.814023399353026,-0.10647068023681783,False,39.01282356262207,38.845851249694825,-0.16697231292724268,False,0.9834073233604431,0.9832272011041642,-0.0001801222562789473,False,0.03446314841508866,0.035383824333548544,0.0009206759184598873,False,42.35140979766846,41.19879467010498,-1.1526151275634788,False,0.9916090375185013,0.9904482960700989,-0.0011607414484023915,False,0.00982107999967411,0.011069074315018952,0.001247994315344841,False,0.006912777572870255,0.009251468069851398,0.002338690496981143,False,29.41759090423584,28.612015342712404,-0.8055755615234368,False,34.61283143043518,34.87388124465942,0.26104981422424345,True,0.9741970217227935,0.9749140587449073,0.0007170370221137867,True,0.04609446777962148,0.04583727939985693,-0.0002571883797645516,True,37.00081950187683,36.74956224441528,-0.25125725746155325,False,0.9853902697563172,0.9842551305890084,-0.0011351391673087852,False,0.013485323849599808,0.01435518684098497,0.0008698629913851622,False
shiny_blender_synthetic,helmet,0.6405774474143981,0.0895418930798769,-0.5510355543345212,True,36.69405632019043,36.785546112060544,0.09148979187011719,True,40.14170768737793,40.051305541992186,-0.09040214538574531,False,0.9934892982244492,0.9932921969890595,-0.00019710123538974056,False,0.006331377732567489,0.0064590676967054604,0.00012768996413797112,False,40.846081199645994,40.770145378112794,-0.0759358215332,False,0.9941075021028518,0.9939275914430619,-0.00017991065978995024,False,0.004997115402948111,0.005113857418764383,0.00011674201581627144,False,0.21683893352746964,0.035956913605332375,-0.18088201992213726,True,35.91402015686035,35.57592620849609,-0.33809394836426065,False,35.8392297744751,35.91236875534057,0.07313898086547255,True,0.9850164332985878,0.9850048306584358,-1.160264015198642e-05,False,0.014634082862176,0.01466804922092706,3.3966358751059966e-05,False,36.46292031288147,36.55509870529175,0.09217839241027548,True,0.9869083300232887,0.9869203695654869,1.2039542198194475e-05,True,0.011352510314900428,0.011322217297274619,-3.029301762580948e-05,True
shiny_blender_synthetic,teapot,0.0217622350435704,0.01248285542242229,-0.00927937962114811,True,39.03930854797363,39.777783966064455,0.7384754180908217,True,49.087399368286135,49.77710113525391,0.6897017669677723,True,0.998963303565979,0.999070611000061,0.00010730743408204901,True,0.0016857076023006812,0.0014377997926203535,-0.0002479078096803277,True,50.34840847015381,51.13564716339111,0.7872386932373061,True,0.9993279641866684,0.9994064688682556,7.850468158721036e-05,True,0.0007178935914998874,0.000610273610218428,-0.0001076199812814594,True,0.0038960183504968882,0.002698267297819257,-0.0011977510526776313,True,39.41321983337402,39.78558082580567,0.3723609924316449,True,46.16682685852051,46.420437297821046,0.2536104393005374,True,0.9975094693899155,0.9976196816563606,0.00011021226644514215,True,0.0034660034548141994,0.0032293809184920975,-0.00023662253632210188,True,47.423567085266114,47.71374229431152,0.29017520904540817,True,0.9985236877202988,0.9985905739665032,6.688624620443395e-05,True,0.001374040016962681,0.0013373058071010746,-3.6734209861606464e-05,True
shiny_blender_synthetic,toaster,0.278150674700737,0.162093286216259,-0.116057388484478,True,31.09833469390869,31.214613723754884,0.11627902984619354,True,33.75893051147461,33.81546375274658,0.056533241271971235,True,0.9781747549772263,0.9781374567747116,-3.7298202514635115e-05,False,0.02407520922832191,0.02457231313921511,0.0004971039108931999,False,35.976572589874266,36.20748571395874,0.2309131240844735,True,0.9911238890886307,0.9914644241333008,0.0003405350446701316,True,0.012020859643816948,0.011787055162712931,-0.00023380448110401665,True,0.10545747801661491,0.057213205844163895,-0.048244272172451017,True,22.386799240112303,22.110078430175783,-0.2767208099365206,False,27.339037952423094,27.163185234069825,-0.1758527183532692,False,0.9499877572059632,0.9491659086942673,-0.0008218485116958663,False,0.056900130864232776,0.058430713647976515,0.0015305827837437391,False,28.695100870132446,28.54051815032959,-0.15458271980285687,False,0.9706654110550881,0.9706967735290527,3.136247396462455e-05,True,0.03770019402261823,0.03776279667392373,6.260265130549753e-05,False
glossy_synthetic,angel,0.11610501706600189,0.09975770190358162,-0.016347315162420273,True,25.86960678100586,26.095824432373046,0.22621765136718608,True,32.8659302847726,32.80772658756801,-0.058203697204589844,False,0.9742000039134707,0.9744968760226455,0.0002968721091747284,True,0.03254557181415813,0.032471020805782506,-7.455100837562567e-05,True,34.376462493624004,34.233606576919556,-0.1428559167044483,False,0.9835989932928767,0.9837508334645203,0.00015184017164360242,True,0.016089633157077645,0.01637190082276772,0.0002822676656900752,False,0.12240459695458412,0.10779540762305259,-0.014609189331531533,True,22.186219787597658,22.699249267578125,0.5130294799804673,True,29.736383318901062,29.881834983825684,0.14545166492462158,True,0.9514805562794209,0.9524393528699875,0.0009587965905666351,True,0.03958009369671345,0.03935200232081115,-0.0002280913759022951,True,31.02737820148468,31.093984007835388,0.06660580635070801,True,0.9697593972086906,0.9696534723043442,-0.00010592490434646606,False,0.022748480376321822,0.022523145424202085,-0.00022533495211973786,True
glossy_synthetic,bell,0.14781553223729132,0.1433430403470993,-0.004472491890192026,True,28.298690032958984,28.27375888824463,-0.024931144714354758,False,34.258189473833355,34.27323712621416,0.015047652380808074,True,0.976869246257203,0.9775770684438092,0.0007078221866062551,True,0.032542489834928086,0.030978597384611412,-0.0015638924503166736,True,34.90486281258719,34.9207432610648,0.015880448477609832,True,0.9790980273059436,0.9798789471387863,0.0007809198328426747,True,0.02600243577866682,0.024471925189053372,-0.0015305105896134472,True,0.10971963033080101,0.10774315819144249,-0.0019764721393585177,True,25.546735572814942,25.735924339294435,0.1891887664794929,True,31.637834668159485,31.77191960811615,0.13408493995666504,True,0.9630710706114769,0.964034728705883,0.0009636580944061279,True,0.04170909128151834,0.03908725525252521,-0.0026218360289931297,True,32.164868116378784,32.3101943731308,0.14532625675201416,True,0.9666688106954098,0.9678541906177998,0.0011853799223899841,True,0.03479176096152514,0.03211493755225092,-0.0026768234092742205,True
glossy_synthetic,cat,0.12245851084589958,0.11539779305458069,-0.007060717791318893,True,28.26777744293213,28.245301818847658,-0.022475624084471235,False,36.00860548019409,36.03758927753994,0.028983797345844664,True,0.9855903860713754,0.9857039712369442,0.00011358516556880804,True,0.029336640178891166,0.029174752882681787,-0.0001618872962093794,True,36.98094197681972,36.875485352107454,-0.10545662471226791,False,0.989677577146462,0.9890196302107402,-0.0006579469357217427,False,0.018068337729865953,0.01880381123295852,0.000735473503092568,False,0.15660581439733506,0.14977002441883086,-0.006835789978504203,True,27.2645055770874,26.788152313232423,-0.47635326385497834,False,33.29552483558655,33.0527685880661,-0.24275624752044678,False,0.9746747277677059,0.974432148039341,-0.00024257972836494446,False,0.03843016771133989,0.038590580807067454,0.0001604130957275629,False,34.4962375164032,33.952213168144226,-0.5440243482589722,False,0.9824726916849613,0.9805249124765396,-0.0019477792084217072,False,0.02370288805104792,0.025158266769722104,0.001455378718674183,False
glossy_synthetic,horse,0.19937337934970856,0.17848040238022805,-0.020892976969480503,True,24.135630226135255,24.255452346801757,0.11982212066650177,True,30.47383063180106,30.506667528833663,0.03283689703260251,True,0.9692279866763523,0.969814194632428,0.0005862079560756683,True,0.02934349907029952,0.029116038149887963,-0.00022746092041155824,True,32.955077852521626,33.067918624196736,0.11284077167510986,True,0.9800918708954539,0.980128502207143,3.663131168907263e-05,True,0.01741631008085928,0.01753199248508151,0.00011568240422223097,False,0.22502968311309815,0.19465115070343017,-0.03037853240966798,True,22.161103630065917,22.394418716430664,0.23331508636474751,True,27.627041459083557,27.702359437942505,0.07531797885894775,True,0.9448911026120186,0.9454795122146606,0.0005884096026420593,True,0.03805907734204084,0.037686008494347334,-0.0003730688476935029,True,30.423553824424744,30.559855580329895,0.13630175590515137,True,0.9688311144709587,0.9683698453009129,-0.00046126917004585266,False,0.02517256827559322,0.025474071328062564,0.00030150305246934295,False
glossy_synthetic,luyu,0.11888066008687019,0.11003987416625023,-0.008840785920619959,True,25.514339637756347,24.714074897766114,-0.800264739990233,False,32.07533998148782,31.615313478878566,-0.4600265026092565,False,0.966454624065331,0.9660793345953737,-0.0003752894699573517,False,0.0314378451855321,0.03267438967512654,0.0012365444895944405,False,33.95423786980765,33.3053354876382,-0.648902382169446,False,0.9796441426234586,0.9789685202496392,-0.0006756223738193512,False,0.01959136130088674,0.02129751379834488,0.0017061524974581396,False,0.1244205117225647,0.1195022352039814,-0.0049182765185833005,True,23.33660182952881,22.59705638885498,-0.7395454406738295,False,29.477797150611877,29.056204080581665,-0.4215930700302124,False,0.947934940457344,0.9479799754917622,4.503503441810608e-05,True,0.03756850026547909,0.03910659218672663,0.001538091921247542,False,31.369457006454468,30.713675141334534,-0.6557818651199341,False,0.9687906429171562,0.9677977859973907,-0.0009928569197654724,False,0.024764987407252192,0.027182404068298638,0.0024174166610464454,False
glossy_synthetic,potion,0.09240107908844948,0.0871635764837265,-0.005237502604722985,True,29.079368019104002,29.339462089538575,0.26009407043457244,True,34.99247983523777,35.19222099440439,0.1997411591666136,True,0.9744603293282645,0.9750580276761737,0.0005976983479091258,True,0.04939461243338883,0.04840871385697808,-0.0009858985764107514,True,36.19237075533186,36.31153321266174,0.11916245732988529,True,0.9797775681529727,0.9798827692866325,0.00010520113365986017,True,0.03281072414081011,0.032093694749554355,-0.0007170293912557579,True,0.08584570027887821,0.08339374512434006,-0.002451955154538152,True,27.773388862609863,28.10766887664795,0.33428001403808594,True,32.73419630527496,32.87587833404541,0.14168202877044678,True,0.9625495113432407,0.9635882936418056,0.0010387822985649109,True,0.058852260233834386,0.05698561086319387,-0.0018666493706405163,True,34.02612376213074,34.19976258277893,0.17363882064819336,True,0.9720447063446045,0.9723633788526058,0.0003186725080013275,True,0.03950584016274661,0.039289352018386126,-0.0002164881443604827,True
glossy_synthetic,tbell,0.28080115616321566,0.22629243284463882,-0.05450872331857684,True,27.632582473754884,27.312349319458008,-0.3202331542968757,False,33.503919754709514,33.58587271826608,0.08195296355656723,True,0.9773495623043605,0.9777241876082761,0.0003746253039155212,True,0.032199028480265825,0.031249844269560918,-0.0009491842107049071,True,34.00247841221945,33.86807264600481,-0.13440576621464118,False,0.9790906640035766,0.9787795426590102,-0.0003111213445663452,False,0.025936389192273573,0.02623984871232616,0.0003034595200525868,False,0.31694277822971345,0.2604417517781258,-0.056501026451587666,True,25.764760208129882,25.88907070159912,0.12431049346923828,True,30.423270106315613,30.662683725357056,0.23941361904144287,True,0.9641860984265804,0.964991107583046,0.0008050091564655304,True,0.04234415013343096,0.04125715885311365,-0.0010869912803173065,True,30.948215126991272,30.975611805915833,0.027396678924560547,True,0.9675749987363815,0.9673340581357479,-0.00024094060063362122,False,0.035055407555773854,0.03510457498487085,4.9167429096996784e-05,False
glossy_synthetic,teapot,0.3351043462753296,0.29428005367517474,-0.040824292600154855,True,23.052289962768555,22.858503913879396,-0.19378604888915874,False,29.86964590208871,30.014814359801157,0.14516845771244746,True,0.9682701075715678,0.9691854135266372,0.0009153059550693898,True,0.03858679100604994,0.03835409127974084,-0.00023269972630909908,True,30.510475516319275,30.47585414137159,-0.03462137494768314,False,0.9712742785257953,0.9714777581393719,0.00020347961357658484,True,0.032909877032839825,0.03307670848776719,0.00016683145492736584,False,0.29593287855386735,0.25243335366249087,-0.043499524891376484,True,20.463845634460448,20.661319732666016,0.19747409820556783,True,26.58281433582306,26.751352787017822,0.16853845119476318,True,0.9448713436722755,0.9467399902641773,0.0018686465919017792,True,0.05110180797055364,0.05008735763840377,-0.0010144503321498632,True,27.20156443119049,27.20884656906128,0.007282137870788574,True,0.9512129202485085,0.951549157500267,0.00033623725175857544,True,0.043858183547854424,0.04301408026367426,-0.0008441032841801643,True
