metric,n,pearson,spearman,tradeoff_rows
reflective_psnr,28,0.006531482958986856,-0.13793103448275862,11
reflective_ssim,28,0.0421080588138094,0.01696770662287904,13
reflective_lpips,28,0.09950877672417548,0.1111111111111111,17
