variant,mean_reflection_consistency,reflective_psnr,reflective_ssim,reflective_lpips
base,0.16616289892755567,0.5718178685406434,0.5048453179609209,0.5826992708754041
rc,0.9077579167726993,0.5434544855109431,0.43043762113400874,0.4114759151584007
wo_ref,0.14351162500677825,0.5676903386270503,0.5453784309669087,0.5286041022768871
wo_conf,0.761949820566521,0.5755873270908108,0.5375633265376617,0.5121841912100575
rough_only,0.16771509245022637,0.2855043543693236,0.46638625526986893,0.39737545833305693
