dataset,split,scene,metric,base_value,rc_value,metric_direction,improvement,winner,source_file
glossy_synthetic,train,luyu,full_ssim,0.966454624065331,0.9660793345953737,higher,-0.0003752894699573517,base,paper_assets/data/main_full_metrics_by_dataset_wide.csv
glossy_synthetic,train,luyu,full_lpips,0.0314378451855321,0.0326743896751265,lower,-0.0012365444895943989,base,paper_assets/data/main_full_metrics_by_dataset_wide.csv
glossy_synthetic,train,potion,mean_reflection_consistency,0.0924010790884494,0.0871635764837265,lower,0.005237502604722902,RC,paper_assets/data/main_full_metrics_by_dataset_wide.csv
glossy_synthetic,train,potion,reflective_region_psnr,29.079368019104,29.33946208953857,higher,0.26009407043457244,RC,paper_assets/data/main_full_metrics_by_dataset_wide.csv
glossy_synthetic,train,potion,reflective_psnr,36.19237075533186,36.31153321266174,higher,0.11916245732988529,RC,paper_assets/data/main_full_metrics_by_dataset_wide.csv
glossy_synthetic,train,potion,reflective_ssim,0.9797775681529728,0.9798827692866324,higher,0.00010520113365963812,RC,paper_assets/data/main_full_metrics_by_dataset_wide.csv
glossy_synthetic,train,potion,reflective_lpips,0.0328107241408101,0.0320936947495543,lower,0.0007170293912557996,RC,paper_assets/data/main_full_metrics_by_dataset_wide.csv
glossy_synthetic,train,potion,full_psnr,34.99247983523777,35.19222099440439,higher,0.1997411591666136,RC,paper_assets/data/main_full_metrics_by_dataset_wide.csv
glossy_synthetic,train,potion,full_ssim,0.9744603293282644,0.9750580276761736,higher,0.0005976983479091258,RC,paper_assets/data/main_full_metrics_by_dataset_wide.csv
glossy_synthetic,train,potion,full_lpips,0.0493946124333888,0.048408713856978,lower,0.0009858985764108,RC,paper_assets/data/main_full_metrics_by_dataset_wide.csv
glossy_synthetic,train,tbell,mean_reflection_consistency,0.2808011561632156,0.2262924328446388,lower,0.05450872331857681,RC,paper_assets/data/main_full_metrics_by_dataset_wide.csv
glossy_synthetic,train,tbell,reflective_region_psnr,27.632582473754884,27.312349319458008,higher,-0.3202331542968757,base,paper_assets/data/main_full_metrics_by_dataset_wide.csv
glossy_synthetic,train,tbell,reflective_psnr,34.00247841221945,33.86807264600481,higher,-0.13440576621464118,base,paper_assets/data/main_full_metrics_by_dataset_wide.csv
glossy_synthetic,train,tbell,reflective_ssim,0.9790906640035766,0.9787795426590102,higher,-0.0003111213445663452,base,paper_assets/data/main_full_metrics_by_dataset_wide.csv
glossy_synthetic,train,tbell,reflective_lpips,0.0259363891922735,0.0262398487123261,lower,-0.00030345952005260066,base,paper_assets/data/main_full_metrics_by_dataset_wide.csv
glossy_synthetic,train,tbell,full_psnr,33.503919754709514,33.58587271826608,higher,0.08195296355656723,RC,paper_assets/data/main_full_metrics_by_dataset_wide.csv
glossy_synthetic,train,tbell,full_ssim,0.9773495623043604,0.977724187608276,higher,0.0003746253039155212,RC,paper_assets/data/main_full_metrics_by_dataset_wide.csv
glossy_synthetic,train,tbell,full_lpips,0.0321990284802658,0.0312498442695609,lower,0.0009491842107048967,RC,paper_assets/data/main_full_metrics_by_dataset_wide.csv
glossy_synthetic,train,teapot,mean_reflection_consistency,0.3351043462753296,0.2942800536751747,lower,0.04082429260015491,RC,paper_assets/data/main_full_metrics_by_dataset_wide.csv
glossy_synthetic,train,teapot,reflective_region_psnr,23.052289962768555,22.8585039138794,higher,-0.19378604888915518,base,paper_assets/data/main_full_metrics_by_dataset_wide.csv
glossy_synthetic,train,teapot,reflective_psnr,30.510475516319275,30.47585414137159,higher,-0.03462137494768314,base,paper_assets/data/main_full_metrics_by_dataset_wide.csv
glossy_synthetic,train,teapot,reflective_ssim,0.9712742785257952,0.971477758139372,higher,0.00020347961357680688,RC,paper_assets/data/main_full_metrics_by_dataset_wide.csv
glossy_synthetic,train,teapot,reflective_lpips,0.0329098770328398,0.0330767084877671,lower,-0.0001668314549273034,base,paper_assets/data/main_full_metrics_by_dataset_wide.csv
glossy_synthetic,train,teapot,full_psnr,29.86964590208871,30.01481435980116,higher,0.14516845771245102,RC,paper_assets/data/main_full_metrics_by_dataset_wide.csv
glossy_synthetic,train,teapot,full_ssim,0.9682701075715678,0.9691854135266372,higher,0.0009153059550693898,RC,paper_assets/data/main_full_metrics_by_dataset_wide.csv
glossy_synthetic,train,teapot,full_lpips,0.0385867910060499,0.0383540912797408,lower,0.00023269972630909908,RC,paper_assets/data/main_full_metrics_by_dataset_wide.csv
glossy_synthetic,test,angel,mean_reflection_consistency,0.1224045969545841,0.1077954076230525,lower,0.014609189331531602,RC,paper_assets/data/main_full_metrics_by_dataset_wide.csv
glossy_synthetic,test,angel,reflective_region_psnr,22.186219787597658,22.699249267578125,higher,0.5130294799804673,RC,paper_assets/data/main_full_metrics_by_dataset_wide.csv
glossy_synthetic,test,angel,reflective_psnr,31.02737820148468,31.093984007835388,higher,0.06660580635070801,RC,paper_assets/data/main_full_metrics_by_dataset_wide.csv
glossy_synthetic,test,angel,reflective_ssim,0.9697593972086906,0.9696534723043442,higher,-0.00010592490434646606,base,paper_assets/data/main_full_metrics_by_dataset_wide.csv
glossy_synthetic,test,angel,reflective_lpips,0.0227484803763218,0.022523145424202,lower,0.00022533495211980031,RC,paper_assets/data/main_full_metrics_by_dataset_wide.csv
glossy_synthetic,test,angel,full_psnr,29.736383318901066,29.881834983825684,higher,0.14545166492461803,RC,paper_assets/data/main_full_metrics_by_dataset_wide.csv
