dataset,split,scene,method,metric,value,metric_direction,geometry_gt_type,evaluation_level,mesh_file,gt_file,aligned_flag,valid_flag,source_file,note
glossy_synthetic,all,cat,rc,geometry_proxy_bbox_diag,2.41639425476256,diagnostic,none,level3_proxy,,nan,False,True,/tmp/rc_refgs_full_dataset_base_rc_i31000_20260527/glossy_synthetic/cat/rc/seed_0/point_cloud/iteration_31000/point_cloud.ply,Proxy-only point-cloud artifact diagnostics; not a mesh/surface quality metric.
glossy_synthetic,all,cat,rc,geometry_proxy_vertex_count_delta_from_input,-33842.0,diagnostic,none,level3_proxy,,nan,False,True,/tmp/rc_refgs_full_dataset_base_rc_i31000_20260527/glossy_synthetic/cat/rc/seed_0/point_cloud/iteration_31000/point_cloud.ply,Proxy-only point-cloud artifact diagnostics; not a mesh/surface quality metric.
glossy_synthetic,all,horse,base,geometry_proxy_vertex_count,211650.0,diagnostic,none,level3_proxy,,nan,False,True,/tmp/rc_refgs_full_dataset_base_rc_i31000_20260527/glossy_synthetic/horse/base/seed_0/point_cloud/iteration_31000/point_cloud.ply,Proxy-only point-cloud artifact diagnostics; not a mesh/surface quality metric.
glossy_synthetic,all,horse,base,geometry_proxy_bbox_diag,2.1712656735729152,diagnostic,none,level3_proxy,,nan,False,True,/tmp/rc_refgs_full_dataset_base_rc_i31000_20260527/glossy_synthetic/horse/base/seed_0/point_cloud/iteration_31000/point_cloud.ply,Proxy-only point-cloud artifact diagnostics; not a mesh/surface quality metric.
glossy_synthetic,all,horse,base,geometry_proxy_vertex_count_delta_from_input,111650.0,diagnostic,none,level3_proxy,,nan,False,True,/tmp/rc_refgs_full_dataset_base_rc_i31000_20260527/glossy_synthetic/horse/base/seed_0/point_cloud/iteration_31000/point_cloud.ply,Proxy-only point-cloud artifact diagnostics; not a mesh/surface quality metric.
glossy_synthetic,all,horse,rc,geometry_proxy_vertex_count,204831.0,diagnostic,none,level3_proxy,,nan,False,True,/tmp/rc_refgs_full_dataset_base_rc_i31000_20260527/glossy_synthetic/horse/rc/seed_0/point_cloud/iteration_31000/point_cloud.ply,Proxy-only point-cloud artifact diagnostics; not a mesh/surface quality metric.
glossy_synthetic,all,horse,rc,geometry_proxy_bbox_diag,2.1716356365311995,diagnostic,none,level3_proxy,,nan,False,True,/tmp/rc_refgs_full_dataset_base_rc_i31000_20260527/glossy_synthetic/horse/rc/seed_0/point_cloud/iteration_31000/point_cloud.ply,Proxy-only point-cloud artifact diagnostics; not a mesh/surface quality metric.
glossy_synthetic,all,horse,rc,geometry_proxy_vertex_count_delta_from_input,104831.0,diagnostic,none,level3_proxy,,nan,False,True,/tmp/rc_refgs_full_dataset_base_rc_i31000_20260527/glossy_synthetic/horse/rc/seed_0/point_cloud/iteration_31000/point_cloud.ply,Proxy-only point-cloud artifact diagnostics; not a mesh/surface quality metric.
glossy_synthetic,all,luyu,base,geometry_proxy_vertex_count,155704.0,diagnostic,none,level3_proxy,,nan,False,True,/tmp/rc_refgs_full_dataset_base_rc_i31000_20260527/glossy_synthetic/luyu/base/seed_0/point_cloud/iteration_31000/point_cloud.ply,Proxy-only point-cloud artifact diagnostics; not a mesh/surface quality metric.
glossy_synthetic,all,luyu,base,geometry_proxy_bbox_diag,2.436008983017052,diagnostic,none,level3_proxy,,nan,False,True,/tmp/rc_refgs_full_dataset_base_rc_i31000_20260527/glossy_synthetic/luyu/base/seed_0/point_cloud/iteration_31000/point_cloud.ply,Proxy-only point-cloud artifact diagnostics; not a mesh/surface quality metric.
glossy_synthetic,all,luyu,base,geometry_proxy_vertex_count_delta_from_input,55704.0,diagnostic,none,level3_proxy,,nan,False,True,/tmp/rc_refgs_full_dataset_base_rc_i31000_20260527/glossy_synthetic/luyu/base/seed_0/point_cloud/iteration_31000/point_cloud.ply,Proxy-only point-cloud artifact diagnostics; not a mesh/surface quality metric.
glossy_synthetic,all,luyu,rc,geometry_proxy_vertex_count,166906.0,diagnostic,none,level3_proxy,,nan,False,True,/tmp/rc_refgs_full_dataset_base_rc_i31000_20260527/glossy_synthetic/luyu/rc/seed_0/point_cloud/iteration_31000/point_cloud.ply,Proxy-only point-cloud artifact diagnostics; not a mesh/surface quality metric.
glossy_synthetic,all,luyu,rc,geometry_proxy_bbox_diag,2.4309956207289236,diagnostic,none,level3_proxy,,nan,False,True,/tmp/rc_refgs_full_dataset_base_rc_i31000_20260527/glossy_synthetic/luyu/rc/seed_0/point_cloud/iteration_31000/point_cloud.ply,Proxy-only point-cloud artifact diagnostics; not a mesh/surface quality metric.
glossy_synthetic,all,luyu,rc,geometry_proxy_vertex_count_delta_from_input,66906.0,diagnostic,none,level3_proxy,,nan,False,True,/tmp/rc_refgs_full_dataset_base_rc_i31000_20260527/glossy_synthetic/luyu/rc/seed_0/point_cloud/iteration_31000/point_cloud.ply,Proxy-only point-cloud artifact diagnostics; not a mesh/surface quality metric.
glossy_synthetic,all,potion,base,geometry_proxy_vertex_count,71997.0,diagnostic,none,level3_proxy,,nan,False,True,/tmp/rc_refgs_full_dataset_base_rc_i31000_20260527/glossy_synthetic/potion/base/seed_0/point_cloud/iteration_31000/point_cloud.ply,Proxy-only point-cloud artifact diagnostics; not a mesh/surface quality metric.
glossy_synthetic,all,potion,base,geometry_proxy_bbox_diag,2.764447009146561,diagnostic,none,level3_proxy,,nan,False,True,/tmp/rc_refgs_full_dataset_base_rc_i31000_20260527/glossy_synthetic/potion/base/seed_0/point_cloud/iteration_31000/point_cloud.ply,Proxy-only point-cloud artifact diagnostics; not a mesh/surface quality metric.
glossy_synthetic,all,potion,base,geometry_proxy_vertex_count_delta_from_input,-28003.0,diagnostic,none,level3_proxy,,nan,False,True,/tmp/rc_refgs_full_dataset_base_rc_i31000_20260527/glossy_synthetic/potion/base/seed_0/point_cloud/iteration_31000/point_cloud.ply,Proxy-only point-cloud artifact diagnostics; not a mesh/surface quality metric.
glossy_synthetic,all,potion,rc,geometry_proxy_vertex_count,73966.0,diagnostic,none,level3_proxy,,nan,False,True,/tmp/rc_refgs_full_dataset_base_rc_i31000_20260527/glossy_synthetic/potion/rc/seed_0/point_cloud/iteration_31000/point_cloud.ply,Proxy-only point-cloud artifact diagnostics; not a mesh/surface quality metric.
glossy_synthetic,all,potion,rc,geometry_proxy_bbox_diag,2.7665411157337596,diagnostic,none,level3_proxy,,nan,False,True,/tmp/rc_refgs_full_dataset_base_rc_i31000_20260527/glossy_synthetic/potion/rc/seed_0/point_cloud/iteration_31000/point_cloud.ply,Proxy-only point-cloud artifact diagnostics; not a mesh/surface quality metric.
glossy_synthetic,all,potion,rc,geometry_proxy_vertex_count_delta_from_input,-26034.0,diagnostic,none,level3_proxy,,nan,False,True,/tmp/rc_refgs_full_dataset_base_rc_i31000_20260527/glossy_synthetic/potion/rc/seed_0/point_cloud/iteration_31000/point_cloud.ply,Proxy-only point-cloud artifact diagnostics; not a mesh/surface quality metric.
glossy_synthetic,all,tbell,base,geometry_proxy_vertex_count,80006.0,diagnostic,none,level3_proxy,,nan,False,True,/tmp/rc_refgs_full_dataset_base_rc_i31000_20260527/glossy_synthetic/tbell/base/seed_0/point_cloud/iteration_31000/point_cloud.ply,Proxy-only point-cloud artifact diagnostics; not a mesh/surface quality metric.
glossy_synthetic,all,tbell,base,geometry_proxy_bbox_diag,2.657179025665908,diagnostic,none,level3_proxy,,nan,False,True,/tmp/rc_refgs_full_dataset_base_rc_i31000_20260527/glossy_synthetic/tbell/base/seed_0/point_cloud/iteration_31000/point_cloud.ply,Proxy-only point-cloud artifact diagnostics; not a mesh/surface quality metric.
glossy_synthetic,all,tbell,base,geometry_proxy_vertex_count_delta_from_input,-19994.0,diagnostic,none,level3_proxy,,nan,False,True,/tmp/rc_refgs_full_dataset_base_rc_i31000_20260527/glossy_synthetic/tbell/base/seed_0/point_cloud/iteration_31000/point_cloud.ply,Proxy-only point-cloud artifact diagnostics; not a mesh/surface quality metric.
glossy_synthetic,all,tbell,rc,geometry_proxy_vertex_count,79138.0,diagnostic,none,level3_proxy,,nan,False,True,/tmp/rc_refgs_full_dataset_base_rc_i31000_20260527/glossy_synthetic/tbell/rc/seed_0/point_cloud/iteration_31000/point_cloud.ply,Proxy-only point-cloud artifact diagnostics; not a mesh/surface quality metric.
glossy_synthetic,all,tbell,rc,geometry_proxy_bbox_diag,2.6540723335520098,diagnostic,none,level3_proxy,,nan,False,True,/tmp/rc_refgs_full_dataset_base_rc_i31000_20260527/glossy_synthetic/tbell/rc/seed_0/point_cloud/iteration_31000/point_cloud.ply,Proxy-only point-cloud artifact diagnostics; not a mesh/surface quality metric.
glossy_synthetic,all,tbell,rc,geometry_proxy_vertex_count_delta_from_input,-20862.0,diagnostic,none,level3_proxy,,nan,False,True,/tmp/rc_refgs_full_dataset_base_rc_i31000_20260527/glossy_synthetic/tbell/rc/seed_0/point_cloud/iteration_31000/point_cloud.ply,Proxy-only point-cloud artifact diagnostics; not a mesh/surface quality metric.
glossy_synthetic,all,teapot,base,geometry_proxy_vertex_count,142774.0,diagnostic,none,level3_proxy,,nan,False,True,/tmp/rc_refgs_full_dataset_base_rc_i31000_20260527/glossy_synthetic/teapot/base/seed_0/point_cloud/iteration_31000/point_cloud.ply,Proxy-only point-cloud artifact diagnostics; not a mesh/surface quality metric.
glossy_synthetic,all,teapot,base,geometry_proxy_bbox_diag,2.489675449725394,diagnostic,none,level3_proxy,,nan,False,True,/tmp/rc_refgs_full_dataset_base_rc_i31000_20260527/glossy_synthetic/teapot/base/seed_0/point_cloud/iteration_31000/point_cloud.ply,Proxy-only point-cloud artifact diagnostics; not a mesh/surface quality metric.
glossy_synthetic,all,teapot,base,geometry_proxy_vertex_count_delta_from_input,42774.0,diagnostic,none,level3_proxy,,nan,False,True,/tmp/rc_refgs_full_dataset_base_rc_i31000_20260527/glossy_synthetic/teapot/base/seed_0/point_cloud/iteration_31000/point_cloud.ply,Proxy-only point-cloud artifact diagnostics; not a mesh/surface quality metric.
glossy_synthetic,all,teapot,rc,geometry_proxy_vertex_count,135908.0,diagnostic,none,level3_proxy,,nan,False,True,/tmp/rc_refgs_full_dataset_base_rc_i31000_20260527/glossy_synthetic/teapot/rc/seed_0/point_cloud/iteration_31000/point_cloud.ply,Proxy-only point-cloud artifact diagnostics; not a mesh/surface quality metric.
glossy_synthetic,all,teapot,rc,geometry_proxy_bbox_diag,2.4811154043492603,diagnostic,none,level3_proxy,,nan,False,True,/tmp/rc_refgs_full_dataset_base_rc_i31000_20260527/glossy_synthetic/teapot/rc/seed_0/point_cloud/iteration_31000/point_cloud.ply,Proxy-only point-cloud artifact diagnostics; not a mesh/surface quality metric.
glossy_synthetic,all,teapot,rc,geometry_proxy_vertex_count_delta_from_input,35908.0,diagnostic,none,level3_proxy,,nan,False,True,/tmp/rc_refgs_full_dataset_base_rc_i31000_20260527/glossy_synthetic/teapot/rc/seed_0/point_cloud/iteration_31000/point_cloud.ply,Proxy-only point-cloud artifact diagnostics; not a mesh/surface quality metric.
shiny_blender_synthetic,all,ball,base,geometry_proxy_vertex_count,43555.0,diagnostic,image_space_gt_partial,level3_proxy,,nan,False,True,/tmp/rc_refgs_full_dataset_base_rc_i31000_20260527/shiny_blender_synthetic/ball/base/seed_0/point_cloud/iteration_31000/point_cloud.ply,Proxy-only point-cloud artifact diagnostics; not a mesh/surface quality metric.
shiny_blender_synthetic,all,ball,base,geometry_proxy_bbox_diag,3.457995544554162,diagnostic,image_space_gt_partial,level3_proxy,,nan,False,True,/tmp/rc_refgs_full_dataset_base_rc_i31000_20260527/shiny_blender_synthetic/ball/base/seed_0/point_cloud/iteration_31000/point_cloud.ply,Proxy-only point-cloud artifact diagnostics; not a mesh/surface quality metric.
shiny_blender_synthetic,all,ball,base,geometry_proxy_vertex_count_delta_from_input,-56445.0,diagnostic,image_space_gt_partial,level3_proxy,,nan,False,True,/tmp/rc_refgs_full_dataset_base_rc_i31000_20260527/shiny_blender_synthetic/ball/base/seed_0/point_cloud/iteration_31000/point_cloud.ply,Proxy-only point-cloud artifact diagnostics; not a mesh/surface quality metric.
shiny_blender_synthetic,all,ball,rc,geometry_proxy_vertex_count,43856.0,diagnostic,image_space_gt_partial,level3_proxy,,nan,False,True,/tmp/rc_refgs_full_dataset_base_rc_i31000_20260527/shiny_blender_synthetic/ball/rc/seed_0/point_cloud/iteration_31000/point_cloud.ply,Proxy-only point-cloud artifact diagnostics; not a mesh/surface quality metric.
shiny_blender_synthetic,all,ball,rc,geometry_proxy_bbox_diag,3.458759631915073,diagnostic,image_space_gt_partial,level3_proxy,,nan,False,True,/tmp/rc_refgs_full_dataset_base_rc_i31000_20260527/shiny_blender_synthetic/ball/rc/seed_0/point_cloud/iteration_31000/point_cloud.ply,Proxy-only point-cloud artifact diagnostics; not a mesh/surface quality metric.
shiny_blender_synthetic,all,ball,rc,geometry_proxy_vertex_count_delta_from_input,-56144.0,diagnostic,image_space_gt_partial,level3_proxy,,nan,False,True,/tmp/rc_refgs_full_dataset_base_rc_i31000_20260527/shiny_blender_synthetic/ball/rc/seed_0/point_cloud/iteration_31000/point_cloud.ply,Proxy-only point-cloud artifact diagnostics; not a mesh/surface quality metric.
shiny_blender_synthetic,all,car,base,geometry_proxy_vertex_count,106794.0,diagnostic,image_space_gt_partial,level3_proxy,,nan,False,True,/tmp/rc_refgs_full_dataset_base_rc_i31000_20260527/shiny_blender_synthetic/car/base/seed_0/point_cloud/iteration_31000/point_cloud.ply,Proxy-only point-cloud artifact diagnostics; not a mesh/surface quality metric.
shiny_blender_synthetic,all,car,base,geometry_proxy_bbox_diag,2.7522671465756106,diagnostic,image_space_gt_partial,level3_proxy,,nan,False,True,/tmp/rc_refgs_full_dataset_base_rc_i31000_20260527/shiny_blender_synthetic/car/base/seed_0/point_cloud/iteration_31000/point_cloud.ply,Proxy-only point-cloud artifact diagnostics; not a mesh/surface quality metric.
shiny_blender_synthetic,all,car,base,geometry_proxy_vertex_count_delta_from_input,6794.0,diagnostic,image_space_gt_partial,level3_proxy,,nan,False,True,/tmp/rc_refgs_full_dataset_base_rc_i31000_20260527/shiny_blender_synthetic/car/base/seed_0/point_cloud/iteration_31000/point_cloud.ply,Proxy-only point-cloud artifact diagnostics; not a mesh/surface quality metric.
shiny_blender_synthetic,all,car,rc,geometry_proxy_vertex_count,102952.0,diagnostic,image_space_gt_partial,level3_proxy,,nan,False,True,/tmp/rc_refgs_full_dataset_base_rc_i31000_20260527/shiny_blender_synthetic/car/rc/seed_0/point_cloud/iteration_31000/point_cloud.ply,Proxy-only point-cloud artifact diagnostics; not a mesh/surface quality metric.
shiny_blender_synthetic,all,car,rc,geometry_proxy_bbox_diag,2.7454865590772584,diagnostic,image_space_gt_partial,level3_proxy,,nan,False,True,/tmp/rc_refgs_full_dataset_base_rc_i31000_20260527/shiny_blender_synthetic/car/rc/seed_0/point_cloud/iteration_31000/point_cloud.ply,Proxy-only point-cloud artifact diagnostics; not a mesh/surface quality metric.
shiny_blender_synthetic,all,car,rc,geometry_proxy_vertex_count_delta_from_input,2952.0,diagnostic,image_space_gt_partial,level3_proxy,,nan,False,True,/tmp/rc_refgs_full_dataset_base_rc_i31000_20260527/shiny_blender_synthetic/car/rc/seed_0/point_cloud/iteration_31000/point_cloud.ply,Proxy-only point-cloud artifact diagnostics; not a mesh/surface quality metric.
shiny_blender_synthetic,all,coffee,base,geometry_proxy_vertex_count,49223.0,diagnostic,image_space_gt_partial,level3_proxy,,nan,False,True,/tmp/rc_refgs_full_dataset_base_rc_i31000_20260527/shiny_blender_synthetic/coffee/base/seed_0/point_cloud/iteration_31000/point_cloud.ply,Proxy-only point-cloud artifact diagnostics; not a mesh/surface quality metric.
