dataset,split,scene,variant,geometry_proxy_vertex_count,geometry_proxy_bbox_diag,geometry_proxy_vertex_count_delta_from_input,notes
shiny_blender_synthetic,all,coffee,wo_ref,48741,3.2221016406572267,-51259,Model-level proxy metrics; no train/test-specific geometry.
shiny_blender_synthetic,all,helmet,base,60619,3.1117898624991978,-39381,Model-level proxy metrics; no train/test-specific geometry.
shiny_blender_synthetic,all,helmet,rc,60312,3.1134405101621865,-39688,Model-level proxy metrics; no train/test-specific geometry.
shiny_blender_synthetic,all,helmet,rough_only,60097,3.1226822920540855,-39903,Model-level proxy metrics; no train/test-specific geometry.
shiny_blender_synthetic,all,helmet,wo_conf,59625,3.113733249886007,-40375,Model-level proxy metrics; no train/test-specific geometry.
shiny_blender_synthetic,all,helmet,wo_ref,58882,3.1140957244512726,-41118,Model-level proxy metrics; no train/test-specific geometry.
shiny_blender_synthetic,all,teapot,base,21759,1.7836245357420664,-78241,Model-level proxy metrics; no train/test-specific geometry.
shiny_blender_synthetic,all,teapot,rc,20536,1.7852552131712587,-79464,Model-level proxy metrics; no train/test-specific geometry.
shiny_blender_synthetic,all,teapot,rough_only,23506,1.7841004357067165,-76494,Model-level proxy metrics; no train/test-specific geometry.
shiny_blender_synthetic,all,teapot,wo_conf,23113,1.7835085630372476,-76887,Model-level proxy metrics; no train/test-specific geometry.
shiny_blender_synthetic,all,teapot,wo_ref,21935,1.7883428934868313,-78065,Model-level proxy metrics; no train/test-specific geometry.
shiny_blender_synthetic,all,toaster,base,139788,3.1264621081231807,39788,Model-level proxy metrics; no train/test-specific geometry.
shiny_blender_synthetic,all,toaster,rc,138856,3.131009540219261,38856,Model-level proxy metrics; no train/test-specific geometry.
shiny_blender_synthetic,all,toaster,rough_only,139449,3.125558773619028,39449,Model-level proxy metrics; no train/test-specific geometry.
shiny_blender_synthetic,all,toaster,wo_conf,139029,3.125317826772291,39029,Model-level proxy metrics; no train/test-specific geometry.
shiny_blender_synthetic,all,toaster,wo_ref,139509,3.125224502915332,39509,Model-level proxy metrics; no train/test-specific geometry.
