dataset,split,scene,base_mean_reflection_consistency,rc_mean_reflection_consistency,base_reflective_region_psnr,rc_reflective_region_psnr,base_full_psnr,rc_full_psnr,base_full_ssim,rc_full_ssim,base_full_lpips,rc_full_lpips,base_reflective_psnr,rc_reflective_psnr,base_reflective_ssim,rc_reflective_ssim,base_reflective_lpips,rc_reflective_lpips,base_valid_pair_count,rc_valid_pair_count,notes
glossy_synthetic,train,angel,0.1161050170660018,0.0997577019035816,25.86960678100586,26.09582443237305,32.8659302847726,32.80772658756801,0.9742000039134708,0.9744968760226456,0.0325455718141581,0.0324710208057825,34.376462493624004,34.23360657691956,0.9835989932928768,0.9837508334645204,0.0160896331570776,0.0163719008227677,10.0,10.0,absolute base/RC metrics; NA indicates unavailable source value
glossy_synthetic,train,bell,0.1478155322372913,0.1433430403470993,28.298690032958984,28.27375888824463,34.258189473833355,34.27323712621416,0.976869246257203,0.9775770684438092,0.032542489834928,0.0309785973846114,34.90486281258719,34.9207432610648,0.9790980273059436,0.9798789471387864,0.0260024357786668,0.0244719251890533,10.0,10.0,absolute base/RC metrics; NA indicates unavailable source value
glossy_synthetic,train,cat,0.1224585108458995,0.1153977930545806,28.26777744293213,28.245301818847658,36.00860548019409,36.03758927753994,0.9855903860713754,0.9857039712369442,0.0293366401788911,0.0291747528826817,36.98094197681972,36.875485352107454,0.989677577146462,0.9890196302107402,0.0180683377298659,0.0188038112329585,10.0,10.0,absolute base/RC metrics; NA indicates unavailable source value
glossy_synthetic,train,horse,0.1993733793497085,0.178480402380228,24.13563022613525,24.25545234680176,30.47383063180106,30.506667528833663,0.9692279866763523,0.969814194632428,0.0293434990702995,0.0291160381498879,32.955077852521626,33.067918624196736,0.980091870895454,0.980128502207143,0.0174163100808592,0.0175319924850815,10.0,10.0,absolute base/RC metrics; NA indicates unavailable source value
glossy_synthetic,train,luyu,0.1188806600868701,0.1100398741662502,25.514339637756347,24.714074897766118,32.07533998148782,31.61531347887857,0.966454624065331,0.9660793345953737,0.0314378451855321,0.0326743896751265,33.95423786980765,33.3053354876382,0.9796441426234586,0.9789685202496392,0.0195913613008867,0.0212975137983448,10.0,10.0,absolute base/RC metrics; NA indicates unavailable source value
glossy_synthetic,train,potion,0.0924010790884494,0.0871635764837265,29.079368019104,29.33946208953857,34.99247983523777,35.19222099440439,0.9744603293282644,0.9750580276761736,0.0493946124333888,0.048408713856978,36.19237075533186,36.31153321266174,0.9797775681529728,0.9798827692866324,0.0328107241408101,0.0320936947495543,10.0,10.0,absolute base/RC metrics; NA indicates unavailable source value
glossy_synthetic,train,tbell,0.2808011561632156,0.2262924328446388,27.632582473754884,27.312349319458008,33.503919754709514,33.58587271826608,0.9773495623043604,0.977724187608276,0.0321990284802658,0.0312498442695609,34.00247841221945,33.86807264600481,0.9790906640035766,0.9787795426590102,0.0259363891922735,0.0262398487123261,10.0,10.0,absolute base/RC metrics; NA indicates unavailable source value
glossy_synthetic,train,teapot,0.3351043462753296,0.2942800536751747,23.052289962768555,22.8585039138794,29.86964590208871,30.01481435980116,0.9682701075715678,0.9691854135266372,0.0385867910060499,0.0383540912797408,30.510475516319275,30.47585414137159,0.9712742785257952,0.971477758139372,0.0329098770328398,0.0330767084877671,10.0,10.0,absolute base/RC metrics; NA indicates unavailable source value
glossy_synthetic,test,angel,0.1224045969545841,0.1077954076230525,22.186219787597658,22.699249267578125,29.736383318901066,29.881834983825684,0.9514805562794209,0.9524393528699876,0.0395800936967134,0.0393520023208111,31.02737820148468,31.093984007835388,0.9697593972086906,0.9696534723043442,0.0227484803763218,0.022523145424202,10.0,10.0,absolute base/RC metrics; NA indicates unavailable source value
glossy_synthetic,test,bell,0.109719630330801,0.1077431581914424,25.546735572814946,25.735924339294435,31.637834668159485,31.77191960811615,0.9630710706114768,0.964034728705883,0.0417090912815183,0.0390872552525252,32.164868116378784,32.3101943731308,0.9666688106954098,0.9678541906177998,0.0347917609615251,0.0321149375522509,10.0,10.0,absolute base/RC metrics; NA indicates unavailable source value
glossy_synthetic,test,cat,0.156605814397335,0.1497700244188308,27.2645055770874,26.788152313232423,33.29552483558655,33.0527685880661,0.974674727767706,0.974432148039341,0.0384301677113398,0.0385905808070674,34.4962375164032,33.952213168144226,0.9824726916849612,0.9805249124765396,0.0237028880510479,0.0251582667697221,10.0,10.0,absolute base/RC metrics; NA indicates unavailable source value
glossy_synthetic,test,horse,0.2250296831130981,0.1946511507034301,22.16110363006592,22.394418716430664,27.62704145908356,27.702359437942505,0.9448911026120186,0.9454795122146606,0.0380590773420408,0.0376860084943473,30.423553824424744,30.55985558032989,0.9688311144709588,0.9683698453009127,0.0251725682755932,0.0254740713280625,10.0,10.0,absolute base/RC metrics; NA indicates unavailable source value
glossy_synthetic,test,luyu,0.1244205117225647,0.1195022352039814,23.33660182952881,22.59705638885498,29.47779715061188,29.056204080581665,0.947934940457344,0.9479799754917622,0.037568500265479,0.0391065921867266,31.369457006454468,30.713675141334534,0.9687906429171562,0.9677977859973907,0.0247649874072521,0.0271824040682986,10.0,10.0,absolute base/RC metrics; NA indicates unavailable source value
glossy_synthetic,test,potion,0.0858457002788782,0.08339374512434,27.773388862609863,28.10766887664795,32.73419630527496,32.87587833404541,0.9625495113432408,0.9635882936418056,0.0588522602338343,0.0569856108631938,34.02612376213074,34.19976258277893,0.9720447063446044,0.9723633788526058,0.0395058401627466,0.0392893520183861,10.0,10.0,absolute base/RC metrics; NA indicates unavailable source value
glossy_synthetic,test,tbell,0.3169427782297134,0.2604417517781258,25.76476020812988,25.88907070159912,30.423270106315613,30.662683725357056,0.9641860984265804,0.964991107583046,0.0423441501334309,0.0412571588531136,30.948215126991272,30.975611805915836,0.9675749987363816,0.967334058135748,0.0350554075557738,0.0351045749848708,10.0,10.0,absolute base/RC metrics; NA indicates unavailable source value
glossy_synthetic,test,teapot,0.2959328785538673,0.2524333536624908,20.463845634460448,20.661319732666016,26.58281433582306,26.751352787017822,0.9448713436722757,0.9467399902641772,0.0511018079705536,0.0500873576384037,27.20156443119049,27.20884656906128,0.9512129202485085,0.951549157500267,0.0438581835478544,0.0430140802636742,10.0,10.0,absolute base/RC metrics; NA indicates unavailable source value
shiny_blender_synthetic,train,ball,0.1712649494409561,0.1663990885019302,37.80105285644531,38.0914852142334,40.85372295379639,40.98823234558105,0.9917829132080078,0.99187539935112,0.0318296349048614,0.0314202127419412,41.106985206604,41.21255100250245,0.9923985570669174,0.9922647655010224,0.0228039968013763,0.0255917888786643,10.0,10.0,absolute base/RC metrics; NA indicates unavailable source value
shiny_blender_synthetic,train,car,0.3124761778861284,0.1426708940416574,31.03232326507568,30.994008827209477,36.740454483032224,36.506158142089845,0.985656060576439,0.985535243153572,0.0090611342014744,0.0090828548045828,38.13613090515137,37.908733406066894,0.9891319018602373,0.9888956397771836,0.005930654965341,0.0063235793309286,10.0,10.0,absolute base/RC metrics; NA indicates unavailable source value
shiny_blender_synthetic,train,coffee,0.0538857832551002,0.0222299552522599,35.920494079589844,35.814023399353026,39.01282356262207,38.845851249694825,0.9834073233604432,0.9832272011041642,0.0344631484150886,0.0353838243335485,42.35140979766846,41.19879467010498,0.9916090375185012,0.9904482960700988,0.0098210799996741,0.0110690743150189,10.0,10.0,absolute base/RC metrics; NA indicates unavailable source value
shiny_blender_synthetic,train,helmet,0.6405774474143981,0.0895418930798769,36.69405632019043,36.785546112060544,40.14170768737793,40.051305541992186,0.9934892982244492,0.9932921969890596,0.0063313777325674,0.0064590676967054,40.846081199646,40.7701453781128,0.9941075021028518,0.993927591443062,0.0049971154029481,0.0051138574187643,10.0,10.0,absolute base/RC metrics; NA indicates unavailable source value
shiny_blender_synthetic,train,teapot,0.0217622350435704,0.0124828554224222,39.03930854797363,39.777783966064455,49.087399368286135,49.77710113525391,0.998963303565979,0.999070611000061,0.0016857076023006,0.0014377997926203,50.34840847015381,51.13564716339111,0.9993279641866684,0.9994064688682556,0.0007178935914998,0.0006102736102184,10.0,10.0,absolute base/RC metrics; NA indicates unavailable source value
shiny_blender_synthetic,train,toaster,0.278150674700737,0.162093286216259,31.09833469390869,31.214613723754884,33.75893051147461,33.81546375274658,0.9781747549772264,0.9781374567747116,0.0240752092283219,0.0245723131392151,35.976572589874266,36.20748571395874,0.9911238890886308,0.9914644241333008,0.0120208596438169,0.0117870551627129,10.0,10.0,absolute base/RC metrics; NA indicates unavailable source value
shiny_blender_synthetic,test,ball,0.0495509508997201,0.0481533735990524,32.91583442687988,32.86421661376953,38.510990924835205,38.56738069534302,0.987964893579483,0.9880351668596268,0.0366052108351141,0.0363157899118959,38.670911960601806,38.69281721115112,0.9886962255835532,0.9884553492069243,0.0266809061681851,0.0309876635763794,10.0,10.0,absolute base/RC metrics; NA indicates unavailable source value
shiny_blender_synthetic,test,car,0.0860734429210424,0.0482423964887857,27.51102466583252,27.844405364990237,31.46817236900329,31.449704580307007,0.967081052660942,0.9674327671527864,0.0188420040858909,0.018566444418393,32.816805353164675,32.916545209884646,0.9758946678042412,0.9761832144856452,0.0131234041810967,0.0138054104242473,10.0,10.0,absolute base/RC metrics; NA indicates unavailable source value
