dataset,dataset_label,scene,split,metric,better_direction,rc_minus_base_delta,improvement,winner,quality_tradeoff_summary
shiny_blender_synthetic,Shiny-Syn.,car,test,full_ssim,higher,0.000352,0.000352,RC,"train: worsened=reflective_region_psnr, full_psnr, full_ssim, full_lpips, reflective_psnr, reflective_ssim, reflective_lpips; test: worsened=full_psnr, reflective_lpips"
shiny_blender_synthetic,Shiny-Syn.,car,test,full_lpips,lower,-0.000276,0.000276,RC,"train: worsened=reflective_region_psnr, full_psnr, full_ssim, full_lpips, reflective_psnr, reflective_ssim, reflective_lpips; test: worsened=full_psnr, reflective_lpips"
shiny_blender_synthetic,Shiny-Syn.,car,test,reflective_psnr,higher,0.09974,0.09974,RC,"train: worsened=reflective_region_psnr, full_psnr, full_ssim, full_lpips, reflective_psnr, reflective_ssim, reflective_lpips; test: worsened=full_psnr, reflective_lpips"
shiny_blender_synthetic,Shiny-Syn.,car,test,reflective_ssim,higher,0.000289,0.000289,RC,"train: worsened=reflective_region_psnr, full_psnr, full_ssim, full_lpips, reflective_psnr, reflective_ssim, reflective_lpips; test: worsened=full_psnr, reflective_lpips"
shiny_blender_synthetic,Shiny-Syn.,car,test,reflective_lpips,lower,0.000682,-0.000682,base,"train: worsened=reflective_region_psnr, full_psnr, full_ssim, full_lpips, reflective_psnr, reflective_ssim, reflective_lpips; test: worsened=full_psnr, reflective_lpips"
shiny_blender_synthetic,Shiny-Syn.,coffee,train,mean_reflection_consistency,lower,-0.031656,0.031656,RC,"train: worsened=reflective_region_psnr, full_psnr, full_ssim, full_lpips, reflective_psnr, reflective_ssim, reflective_lpips; test: worsened=mean_reflection_consistency, reflective_region_psnr, reflective_psnr, reflective_ssim, reflective_lpips"
shiny_blender_synthetic,Shiny-Syn.,coffee,train,full_psnr,higher,-0.166972,-0.166972,base,"train: worsened=reflective_region_psnr, full_psnr, full_ssim, full_lpips, reflective_psnr, reflective_ssim, reflective_lpips; test: worsened=mean_reflection_consistency, reflective_region_psnr, reflective_psnr, reflective_ssim, reflective_lpips"
shiny_blender_synthetic,Shiny-Syn.,coffee,train,full_ssim,higher,-0.00018,-0.00018,base,"train: worsened=reflective_region_psnr, full_psnr, full_ssim, full_lpips, reflective_psnr, reflective_ssim, reflective_lpips; test: worsened=mean_reflection_consistency, reflective_region_psnr, reflective_psnr, reflective_ssim, reflective_lpips"
shiny_blender_synthetic,Shiny-Syn.,coffee,train,full_lpips,lower,0.000921,-0.000921,base,"train: worsened=reflective_region_psnr, full_psnr, full_ssim, full_lpips, reflective_psnr, reflective_ssim, reflective_lpips; test: worsened=mean_reflection_consistency, reflective_region_psnr, reflective_psnr, reflective_ssim, reflective_lpips"
shiny_blender_synthetic,Shiny-Syn.,coffee,train,reflective_psnr,higher,-1.152615,-1.152615,base,"train: worsened=reflective_region_psnr, full_psnr, full_ssim, full_lpips, reflective_psnr, reflective_ssim, reflective_lpips; test: worsened=mean_reflection_consistency, reflective_region_psnr, reflective_psnr, reflective_ssim, reflective_lpips"
shiny_blender_synthetic,Shiny-Syn.,coffee,train,reflective_ssim,higher,-0.001161,-0.001161,base,"train: worsened=reflective_region_psnr, full_psnr, full_ssim, full_lpips, reflective_psnr, reflective_ssim, reflective_lpips; test: worsened=mean_reflection_consistency, reflective_region_psnr, reflective_psnr, reflective_ssim, reflective_lpips"
shiny_blender_synthetic,Shiny-Syn.,coffee,train,reflective_lpips,lower,0.001248,-0.001248,base,"train: worsened=reflective_region_psnr, full_psnr, full_ssim, full_lpips, reflective_psnr, reflective_ssim, reflective_lpips; test: worsened=mean_reflection_consistency, reflective_region_psnr, reflective_psnr, reflective_ssim, reflective_lpips"
shiny_blender_synthetic,Shiny-Syn.,coffee,test,mean_reflection_consistency,lower,0.002339,-0.002339,base,"train: worsened=reflective_region_psnr, full_psnr, full_ssim, full_lpips, reflective_psnr, reflective_ssim, reflective_lpips; test: worsened=mean_reflection_consistency, reflective_region_psnr, reflective_psnr, reflective_ssim, reflective_lpips"
shiny_blender_synthetic,Shiny-Syn.,coffee,test,full_psnr,higher,0.26105,0.26105,RC,"train: worsened=reflective_region_psnr, full_psnr, full_ssim, full_lpips, reflective_psnr, reflective_ssim, reflective_lpips; test: worsened=mean_reflection_consistency, reflective_region_psnr, reflective_psnr, reflective_ssim, reflective_lpips"
shiny_blender_synthetic,Shiny-Syn.,coffee,test,full_ssim,higher,0.000717,0.000717,RC,"train: worsened=reflective_region_psnr, full_psnr, full_ssim, full_lpips, reflective_psnr, reflective_ssim, reflective_lpips; test: worsened=mean_reflection_consistency, reflective_region_psnr, reflective_psnr, reflective_ssim, reflective_lpips"
shiny_blender_synthetic,Shiny-Syn.,coffee,test,full_lpips,lower,-0.000257,0.000257,RC,"train: worsened=reflective_region_psnr, full_psnr, full_ssim, full_lpips, reflective_psnr, reflective_ssim, reflective_lpips; test: worsened=mean_reflection_consistency, reflective_region_psnr, reflective_psnr, reflective_ssim, reflective_lpips"
shiny_blender_synthetic,Shiny-Syn.,coffee,test,reflective_psnr,higher,-0.251257,-0.251257,base,"train: worsened=reflective_region_psnr, full_psnr, full_ssim, full_lpips, reflective_psnr, reflective_ssim, reflective_lpips; test: worsened=mean_reflection_consistency, reflective_region_psnr, reflective_psnr, reflective_ssim, reflective_lpips"
shiny_blender_synthetic,Shiny-Syn.,coffee,test,reflective_ssim,higher,-0.001135,-0.001135,base,"train: worsened=reflective_region_psnr, full_psnr, full_ssim, full_lpips, reflective_psnr, reflective_ssim, reflective_lpips; test: worsened=mean_reflection_consistency, reflective_region_psnr, reflective_psnr, reflective_ssim, reflective_lpips"
shiny_blender_synthetic,Shiny-Syn.,coffee,test,reflective_lpips,lower,0.00087,-0.00087,base,"train: worsened=reflective_region_psnr, full_psnr, full_ssim, full_lpips, reflective_psnr, reflective_ssim, reflective_lpips; test: worsened=mean_reflection_consistency, reflective_region_psnr, reflective_psnr, reflective_ssim, reflective_lpips"
shiny_blender_synthetic,Shiny-Syn.,helmet,train,mean_reflection_consistency,lower,-0.551036,0.551036,RC,"train: worsened=full_psnr, full_ssim, full_lpips, reflective_psnr, reflective_ssim, reflective_lpips; test: worsened=reflective_region_psnr, full_ssim, full_lpips"
shiny_blender_synthetic,Shiny-Syn.,helmet,train,full_psnr,higher,-0.090402,-0.090402,base,"train: worsened=full_psnr, full_ssim, full_lpips, reflective_psnr, reflective_ssim, reflective_lpips; test: worsened=reflective_region_psnr, full_ssim, full_lpips"
shiny_blender_synthetic,Shiny-Syn.,helmet,train,full_ssim,higher,-0.000197,-0.000197,base,"train: worsened=full_psnr, full_ssim, full_lpips, reflective_psnr, reflective_ssim, reflective_lpips; test: worsened=reflective_region_psnr, full_ssim, full_lpips"
shiny_blender_synthetic,Shiny-Syn.,helmet,train,full_lpips,lower,0.000128,-0.000128,base,"train: worsened=full_psnr, full_ssim, full_lpips, reflective_psnr, reflective_ssim, reflective_lpips; test: worsened=reflective_region_psnr, full_ssim, full_lpips"
shiny_blender_synthetic,Shiny-Syn.,helmet,train,reflective_psnr,higher,-0.075936,-0.075936,base,"train: worsened=full_psnr, full_ssim, full_lpips, reflective_psnr, reflective_ssim, reflective_lpips; test: worsened=reflective_region_psnr, full_ssim, full_lpips"
shiny_blender_synthetic,Shiny-Syn.,helmet,train,reflective_ssim,higher,-0.00018,-0.00018,base,"train: worsened=full_psnr, full_ssim, full_lpips, reflective_psnr, reflective_ssim, reflective_lpips; test: worsened=reflective_region_psnr, full_ssim, full_lpips"
shiny_blender_synthetic,Shiny-Syn.,helmet,train,reflective_lpips,lower,0.000117,-0.000117,base,"train: worsened=full_psnr, full_ssim, full_lpips, reflective_psnr, reflective_ssim, reflective_lpips; test: worsened=reflective_region_psnr, full_ssim, full_lpips"
shiny_blender_synthetic,Shiny-Syn.,helmet,test,mean_reflection_consistency,lower,-0.180882,0.180882,RC,"train: worsened=full_psnr, full_ssim, full_lpips, reflective_psnr, reflective_ssim, reflective_lpips; test: worsened=reflective_region_psnr, full_ssim, full_lpips"
shiny_blender_synthetic,Shiny-Syn.,helmet,test,full_psnr,higher,0.073139,0.073139,RC,"train: worsened=full_psnr, full_ssim, full_lpips, reflective_psnr, reflective_ssim, reflective_lpips; test: worsened=reflective_region_psnr, full_ssim, full_lpips"
