dataset,split,scene,variant,mean_reflection_consistency,reflective_region_psnr,full_psnr,full_ssim,full_lpips,reflective_psnr,reflective_ssim,reflective_lpips,valid_pair_count,num_pairs,num_images,notes
glossy_synthetic,train,angel,base,0.1161050170660018,25.86960678100586,32.8659302847726,0.9742000039134708,0.0325455718141581,34.376462493624004,0.9835989932928768,0.0160896331570776,10.0,NA,NA,missing entries are NA and excluded from averages
glossy_synthetic,train,angel,rc,0.0997577019035816,26.09582443237305,32.80772658756801,0.9744968760226456,0.0324710208057825,34.23360657691956,0.9837508334645204,0.0163719008227677,10.0,NA,NA,missing entries are NA and excluded from averages
glossy_synthetic,train,angel,wo_ref,0.1175509773194789,25.99390811920166,32.895416617393494,0.97448186523148,0.0323494809480117,34.56403170313154,0.9846151785126754,0.0157215853022145,10.0,10.0,112.0,missing entries are NA and excluded from averages
glossy_synthetic,train,angel,wo_conf,0.1043616481125354,26.048081970214845,32.88566199370793,0.9744018933602742,0.0322457009460777,34.51892679078238,0.9841542036405632,0.0157127853516223,10.0,10.0,112.0,missing entries are NA and excluded from averages
glossy_synthetic,train,angel,rough_only,0.1152371354401111,25.64068298339844,32.64003835405622,0.9738713891378472,0.0330251362008441,34.027350834437776,0.9840815556900842,0.0162402759222979,10.0,10.0,112.0,missing entries are NA and excluded from averages
glossy_synthetic,train,bell,base,0.1478155322372913,28.298690032958984,34.258189473833355,0.976869246257203,0.032542489834928,34.90486281258719,0.9790980273059436,0.0260024357786668,10.0,NA,NA,missing entries are NA and excluded from averages
glossy_synthetic,train,bell,rc,0.1433430403470993,28.27375888824463,34.27323712621416,0.9775770684438092,0.0309785973846114,34.9207432610648,0.9798789471387864,0.0244719251890533,10.0,NA,NA,missing entries are NA and excluded from averages
glossy_synthetic,train,bell,wo_ref,0.1472119845449924,28.287261962890625,34.103809288569856,0.9761554598808287,0.0333940191194415,34.78946573393686,0.9787812456488608,0.0266518970851653,10.0,10.0,112.0,missing entries are NA and excluded from averages
glossy_synthetic,train,bell,wo_conf,0.1432468637824058,28.281042098999023,34.23323018210275,0.9767290518752166,0.0328654090408235,34.86687840734209,0.9788906994674887,0.0265659605585304,10.0,10.0,112.0,missing entries are NA and excluded from averages
glossy_synthetic,train,bell,rough_only,0.150847277790308,28.27362060546875,34.232450008392334,0.976803178765944,0.0329372637206688,34.85300987107413,0.9793340042233468,0.0270949976319181,10.0,10.0,112.0,missing entries are NA and excluded from averages
glossy_synthetic,train,cat,base,0.1224585108458995,28.26777744293213,36.00860548019409,0.9855903860713754,0.0293366401788911,36.98094197681972,0.989677577146462,0.0180683377298659,10.0,NA,NA,missing entries are NA and excluded from averages
glossy_synthetic,train,cat,rc,0.1153977930545806,28.245301818847658,36.03758927753994,0.9857039712369442,0.0291747528826817,36.875485352107454,0.9890196302107402,0.0188038112329585,10.0,NA,NA,missing entries are NA and excluded from averages
glossy_synthetic,train,cat,wo_ref,0.1248512998223304,28.06360321044922,35.66708442143032,0.9846585802733898,0.0307441557524725,36.9030259677342,0.9897249191999437,0.0181388792033041,10.0,10.0,112.0,missing entries are NA and excluded from averages
glossy_synthetic,train,cat,wo_conf,0.1199806176126003,27.952320671081544,35.645037923540386,0.9847686061901706,0.0306130682168129,37.06301147597177,0.9900204672345092,0.0174814828289007,10.0,10.0,112.0,missing entries are NA and excluded from averages
glossy_synthetic,train,cat,rough_only,0.1237304925918579,28.029560089111328,35.88318872451782,0.9853117199880737,0.030163066478313,36.88422308649336,0.989500999982868,0.0187849057339397,10.0,10.0,112.0,missing entries are NA and excluded from averages
glossy_synthetic,train,horse,base,0.1993733793497085,24.13563022613525,30.47383063180106,0.9692279866763523,0.0293434990702995,32.955077852521626,0.980091870895454,0.0174163100808592,10.0,NA,NA,missing entries are NA and excluded from averages
glossy_synthetic,train,horse,rc,0.178480402380228,24.25545234680176,30.506667528833663,0.969814194632428,0.0291160381498879,33.067918624196736,0.980128502207143,0.0175319924850815,10.0,NA,NA,missing entries are NA and excluded from averages
glossy_synthetic,train,horse,wo_ref,0.1957314908504486,23.41133346557617,30.001469952719557,0.96853007376194,0.0315188622002356,32.242526922907146,0.9793699149574552,0.0194963315817793,10.0,10.0,112.0,missing entries are NA and excluded from averages
glossy_synthetic,train,horse,wo_conf,0.1814376354217529,24.006666946411134,30.35312044620514,0.968864472316844,0.0303609776310622,32.720366512026104,0.979630384594202,0.0184268125615614,10.0,10.0,112.0,missing entries are NA and excluded from averages
glossy_synthetic,train,horse,rough_only,0.1980418115854263,23.90645294189453,30.46162848813193,0.9691522062889169,0.0298955312963309,32.58050959450858,0.9808108982230936,0.0172223605830887,10.0,10.0,112.0,missing entries are NA and excluded from averages
glossy_synthetic,train,luyu,base,0.1188806600868701,25.514339637756347,32.07533998148782,0.966454624065331,0.0314378451855321,33.95423786980765,0.9796441426234586,0.0195913613008867,10.0,NA,NA,missing entries are NA and excluded from averages
glossy_synthetic,train,luyu,rc,0.1100398741662502,24.714074897766118,31.61531347887857,0.9660793345953737,0.0326743896751265,33.3053354876382,0.9789685202496392,0.0212975137983448,10.0,NA,NA,missing entries are NA and excluded from averages
glossy_synthetic,train,luyu,wo_ref,0.1222952775657177,25.654272842407227,32.102201563971384,0.9665356650948524,0.031281597529804,34.097303066934856,0.9801080647323812,0.0192210355307906,10.0,10.0,112.0,missing entries are NA and excluded from averages
glossy_synthetic,train,luyu,wo_conf,0.1096168525516986,25.221497535705566,31.85184618404933,0.9658277976725784,0.032344808219932,33.61810239723751,0.9785392044910364,0.0209630046738311,10.0,10.0,112.0,missing entries are NA and excluded from averages
glossy_synthetic,train,luyu,rough_only,0.1204022161662578,25.31834316253662,31.86562861715044,0.9654750595135349,0.0326713914816666,33.7397027185985,0.9791939721575804,0.0206093213969974,10.0,10.0,112.0,missing entries are NA and excluded from averages
glossy_synthetic,train,potion,base,0.0924010790884494,29.079368019104,34.99247983523777,0.9744603293282644,0.0493946124333888,36.19237075533186,0.9797775681529728,0.0328107241408101,10.0,NA,NA,missing entries are NA and excluded from averages
glossy_synthetic,train,potion,rc,0.0871635764837265,29.33946208953857,35.19222099440439,0.9750580276761736,0.048408713856978,36.31153321266174,0.9798827692866324,0.0320936947495543,10.0,NA,NA,missing entries are NA and excluded from averages
glossy_synthetic,train,potion,wo_ref,0.0920600324869155,29.271531105041504,34.98601012570517,0.9742263864193644,0.0499258520347731,36.04801133700779,0.979314211755991,0.0327925332322982,10.0,10.0,112.0,missing entries are NA and excluded from averages
glossy_synthetic,train,potion,wo_conf,0.0823602281510829,29.058702087402345,34.90818759373256,0.9732388550681728,0.0520599087633724,36.03151154518128,0.9786900973745756,0.0349031836127064,10.0,10.0,112.0,missing entries are NA and excluded from averages
glossy_synthetic,train,potion,rough_only,0.0931119829416275,29.025543212890625,35.05583388464792,0.9739726835063526,0.0515643032600304,36.101957593645366,0.9794507777052266,0.033674003190494,10.0,10.0,112.0,missing entries are NA and excluded from averages
glossy_synthetic,train,tbell,base,0.2808011561632156,27.632582473754884,33.503919754709514,0.9773495623043604,0.0321990284802658,34.00247841221945,0.9790906640035766,0.0259363891922735,10.0,NA,NA,missing entries are NA and excluded from averages
glossy_synthetic,train,tbell,rc,0.2262924328446388,27.312349319458008,33.58587271826608,0.977724187608276,0.0312498442695609,33.86807264600481,0.9787795426590102,0.0262398487123261,10.0,NA,NA,missing entries are NA and excluded from averages
glossy_synthetic,train,tbell,wo_ref,0.2685814380645752,27.079141235351564,33.35816713741848,0.976229769310781,0.0341686506123681,33.75583803653717,0.9776400088199548,0.0281978097544716,10.0,10.0,112.0,missing entries are NA and excluded from averages
glossy_synthetic,train,tbell,wo_conf,0.2394204065203666,27.229942321777344,33.460986154420034,0.9771923848560878,0.032538780194175,33.845629589898245,0.9785033932753971,0.0266861217761678,10.0,10.0,112.0,missing entries are NA and excluded from averages
glossy_synthetic,train,tbell,rough_only,0.2776206701993942,27.06384391784668,33.399973443576265,0.976953015795776,0.0327598777366802,33.65329018660954,0.9782428789351668,0.0271110051876998,10.0,10.0,112.0,missing entries are NA and excluded from averages
glossy_synthetic,train,teapot,base,0.3351043462753296,23.052289962768555,29.86964590208871,0.9682701075715678,0.0385867910060499,30.510475516319275,0.9712742785257952,0.0329098770328398,10.0,NA,NA,missing entries are NA and excluded from averages
glossy_synthetic,train,teapot,rc,0.2942800536751747,22.8585039138794,30.01481435980116,0.9691854135266372,0.0383540912797408,30.47585414137159,0.971477758139372,0.0330767084877671,10.0,NA,NA,missing entries are NA and excluded from averages
glossy_synthetic,train,teapot,wo_ref,0.3273869693279266,22.96704692840576,29.997337307248795,0.968896571546793,0.0379285584536514,30.72246822289058,0.9718835917966706,0.0325506400882399,10.0,10.0,112.0,missing entries are NA and excluded from averages
glossy_synthetic,train,teapot,wo_conf,0.2990034148097038,23.02075500488281,29.825058221817017,0.9682536875563008,0.0389804316884172,30.74776879378728,0.9716809998665538,0.0331449955369212,10.0,10.0,112.0,missing entries are NA and excluded from averages
glossy_synthetic,train,teapot,rough_only,0.3256653338670731,22.86170864105225,29.88680076599121,0.9683523417583534,0.0388040693110919,30.47533690929413,0.971174660537924,0.0333432874675574,10.0,10.0,112.0,missing entries are NA and excluded from averages
glossy_synthetic,test,angel,base,0.1224045969545841,22.186219787597658,29.736383318901066,0.9514805562794209,0.0395800936967134,31.02737820148468,0.9697593972086906,0.0227484803763218,10.0,NA,NA,missing entries are NA and excluded from averages
glossy_synthetic,test,angel,rc,0.1077954076230525,22.699249267578125,29.881834983825684,0.9524393528699876,0.0393520023208111,31.093984007835388,0.9696534723043442,0.022523145424202,10.0,NA,NA,missing entries are NA and excluded from averages
glossy_synthetic,test,angel,wo_ref,0.1236945025622844,22.452810096740723,29.867521286010746,0.952394612133503,0.0393029106780886,31.33213770389557,0.971696510910988,0.0216047034482471,10.0,10.0,16.0,missing entries are NA and excluded from averages
glossy_synthetic,test,angel,wo_conf,0.1122384257614612,22.418060111999512,29.8094334602356,0.9516350738704203,0.0394022548571229,31.226865768432617,0.9701294265687466,0.0225639516720548,10.0,10.0,16.0,missing entries are NA and excluded from averages
glossy_synthetic,test,angel,rough_only,0.1221361257135868,22.239760971069337,29.72672843933105,0.9512455835938454,0.0400116737000644,30.950470328330997,0.9699157811701298,0.0225148928002454,10.0,10.0,16.0,missing entries are NA and excluded from averages
glossy_synthetic,test,bell,base,0.109719630330801,25.546735572814946,31.637834668159485,0.9630710706114768,0.0417090912815183,32.164868116378784,0.9666688106954098,0.0347917609615251,10.0,NA,NA,missing entries are NA and excluded from averages
glossy_synthetic,test,bell,rc,0.1077431581914424,25.735924339294435,31.77191960811615,0.964034728705883,0.0390872552525252,32.3101943731308,0.9678541906177998,0.0321149375522509,10.0,NA,NA,missing entries are NA and excluded from averages
glossy_synthetic,test,bell,wo_ref,0.1117969542741775,25.678668403625487,31.574255228042603,0.962655782699585,0.0421106903813779,32.21199142932892,0.9672134891152382,0.0345979082630947,10.0,10.0,16.0,missing entries are NA and excluded from averages
glossy_synthetic,test,bell,wo_conf,0.1128917135298252,25.57769222259521,31.643195748329163,0.9627358689904212,0.0418135710060596,32.16130459308624,0.9663661271333694,0.0350380272138863,10.0,10.0,16.0,missing entries are NA and excluded from averages
glossy_synthetic,test,bell,rough_only,0.1119254238903522,25.62972640991211,31.678028106689453,0.9633947797119616,0.0416685105301439,32.194119930267334,0.9673179164528848,0.0348353659501299,10.0,10.0,16.0,missing entries are NA and excluded from averages
glossy_synthetic,test,cat,base,0.156605814397335,27.2645055770874,33.29552483558655,0.974674727767706,0.0384301677113398,34.4962375164032,0.9824726916849612,0.0237028880510479,10.0,NA,NA,missing entries are NA and excluded from averages
glossy_synthetic,test,cat,rc,0.1497700244188308,26.788152313232423,33.0527685880661,0.974432148039341,0.0385905808070674,33.952213168144226,0.9805249124765396,0.0251582667697221,10.0,NA,NA,missing entries are NA and excluded from averages
glossy_synthetic,test,cat,wo_ref,0.1589445292949676,26.87231731414795,32.86723029613495,0.9736723229289056,0.0398700373480096,34.25523626804352,0.9826172217726707,0.0236771934432908,10.0,10.0,16.0,missing entries are NA and excluded from averages
glossy_synthetic,test,cat,wo_conf,0.1544108361005783,27.06930446624756,32.92733561992645,0.9739789329469204,0.0390330023365095,34.46707510948181,0.9831671379506588,0.0223840569378808,10.0,10.0,16.0,missing entries are NA and excluded from averages
glossy_synthetic,test,cat,rough_only,0.1579545751214027,27.137519454956056,33.098987460136414,0.9745397232472895,0.0388774899765849,34.3738865852356,0.9822088107466698,0.0241583411116153,10.0,10.0,16.0,missing entries are NA and excluded from averages
glossy_synthetic,test,horse,base,0.2250296831130981,22.16110363006592,27.62704145908356,0.9448911026120186,0.0380590773420408,30.423553824424744,0.9688311144709588,0.0251725682755932,10.0,NA,NA,missing entries are NA and excluded from averages
glossy_synthetic,test,horse,rc,0.1946511507034301,22.394418716430664,27.702359437942505,0.9454795122146606,0.0376860084943473,30.55985558032989,0.9683698453009127,0.0254740713280625,10.0,NA,NA,missing entries are NA and excluded from averages
glossy_synthetic,test,horse,wo_ref,0.2232219293713569,22.0252893447876,27.470797419548035,0.9444305635988712,0.0398575395811349,30.09772682189941,0.9682388231158257,0.0273149516433477,10.0,10.0,16.0,missing entries are NA and excluded from averages
glossy_synthetic,test,horse,wo_conf,0.2074032217264175,22.150599098205568,27.64814138412476,0.945021454244852,0.0387174085481092,30.356438159942627,0.9686231166124344,0.025958523270674,10.0,10.0,16.0,missing entries are NA and excluded from averages
glossy_synthetic,test,horse,rough_only,0.2221041172742843,22.025045585632324,27.683650493621823,0.9451914578676224,0.0381889099953696,30.05325877666473,0.9693291038274764,0.0243693813681602,10.0,10.0,16.0,missing entries are NA and excluded from averages
glossy_synthetic,test,luyu,base,0.1244205117225647,23.33660182952881,29.47779715061188,0.947934940457344,0.037568500265479,31.369457006454468,0.9687906429171562,0.0247649874072521,10.0,NA,NA,missing entries are NA and excluded from averages
glossy_synthetic,test,luyu,rc,0.1195022352039814,22.59705638885498,29.056204080581665,0.9479799754917622,0.0391065921867266,30.713675141334534,0.9677977859973907,0.0271824040682986,10.0,NA,NA,missing entries are NA and excluded from averages
