dataset,split,variant,metric,mean_value,valid_n,total_scene_count,metric_direction,note
glossy_synthetic,test,rc,mean_reflection_consistency,0.1594663533382117,8,8,lower,mean over 8/8 valid scene rows
glossy_synthetic,test,rc,reflective_region_psnr,24.359107542037965,8,8,higher,mean over 8/8 valid scene rows
glossy_synthetic,test,rc,full_psnr,30.21937519311905,8,8,higher,mean over 8/8 valid scene rows
glossy_synthetic,test,rc,full_ssim,0.9574606386013329,8,8,higher,mean over 8/8 valid scene rows
glossy_synthetic,test,rc,full_lpips,0.042769070802023586,8,8,lower,mean over 8/8 valid scene rows
glossy_synthetic,test,rc,reflective_psnr,31.37676790356636,8,8,higher,mean over 8/8 valid scene rows
glossy_synthetic,test,rc,reflective_ssim,0.968180850148201,8,8,higher,mean over 8/8 valid scene rows
glossy_synthetic,test,rc,reflective_lpips,0.031232604051183402,8,8,lower,mean over 8/8 valid scene rows
glossy_synthetic,test,rc,valid_pair_count,10.0,8,8,count,mean over 8/8 valid scene rows
glossy_synthetic,test,wo_ref,mean_reflection_consistency,0.17987457509152588,8,8,lower,mean over 8/8 valid scene rows
glossy_synthetic,test,wo_ref,reflective_region_psnr,24.311390352249145,8,8,higher,mean over 8/8 valid scene rows
glossy_synthetic,test,wo_ref,full_psnr,30.163601741194725,8,8,higher,mean over 8/8 valid scene rows
glossy_synthetic,test,wo_ref,full_ssim,0.9567342675291002,8,8,higher,mean over 8/8 valid scene rows
glossy_synthetic,test,wo_ref,full_lpips,0.0437892408808693,8,8,lower,mean over 8/8 valid scene rows
glossy_synthetic,test,wo_ref,reflective_psnr,31.46579457819462,8,8,higher,mean over 8/8 valid scene rows
glossy_synthetic,test,wo_ref,reflective_ssim,0.968752515502274,8,8,higher,mean over 8/8 valid scene rows
glossy_synthetic,test,wo_ref,reflective_lpips,0.03114041945809726,8,8,lower,mean over 8/8 valid scene rows
glossy_synthetic,test,wo_ref,valid_pair_count,10.0,8,8,count,mean over 8/8 valid scene rows
glossy_synthetic,test,wo_ref,num_pairs,10.0,8,8,count,mean over 8/8 valid scene rows
glossy_synthetic,test,wo_ref,num_images,16.0,8,8,count,mean over 8/8 valid scene rows
glossy_synthetic,test,wo_conf,mean_reflection_consistency,0.1672663496341556,8,8,lower,mean over 8/8 valid scene rows
glossy_synthetic,test,wo_conf,reflective_region_psnr,24.291162776947022,8,8,higher,mean over 8/8 valid scene rows
glossy_synthetic,test,wo_conf,full_psnr,30.134391993284225,8,8,higher,mean over 8/8 valid scene rows
glossy_synthetic,test,wo_conf,full_ssim,0.9564330391585827,8,8,higher,mean over 8/8 valid scene rows
glossy_synthetic,test,wo_conf,full_lpips,0.04394954256713385,8,8,lower,mean over 8/8 valid scene rows
glossy_synthetic,test,wo_conf,reflective_psnr,31.42983829975128,8,8,higher,mean over 8/8 valid scene rows
glossy_synthetic,test,wo_conf,reflective_ssim,0.9682827927172184,8,8,higher,mean over 8/8 valid scene rows
glossy_synthetic,test,wo_conf,reflective_lpips,0.03148401039652522,8,8,lower,mean over 8/8 valid scene rows
glossy_synthetic,test,wo_conf,valid_pair_count,10.0,8,8,count,mean over 8/8 valid scene rows
glossy_synthetic,test,wo_conf,num_pairs,10.0,8,8,count,mean over 8/8 valid scene rows
glossy_synthetic,test,wo_conf,num_images,16.0,8,8,count,mean over 8/8 valid scene rows
glossy_synthetic,test,rough_only,mean_reflection_consistency,0.18067174167372282,8,8,lower,mean over 8/8 valid scene rows
glossy_synthetic,test,rough_only,reflective_region_psnr,24.24244463443756,8,8,higher,mean over 8/8 valid scene rows
glossy_synthetic,test,rough_only,full_psnr,30.186743333935738,8,8,higher,mean over 8/8 valid scene rows
glossy_synthetic,test,rough_only,full_ssim,0.9565872251987457,8,8,higher,mean over 8/8 valid scene rows
glossy_synthetic,test,rough_only,full_lpips,0.043953611500910435,8,8,lower,mean over 8/8 valid scene rows
glossy_synthetic,test,rough_only,reflective_psnr,31.342510998249054,8,8,higher,mean over 8/8 valid scene rows
glossy_synthetic,test,rough_only,reflective_ssim,0.9682444971986115,8,8,higher,mean over 8/8 valid scene rows
glossy_synthetic,test,rough_only,reflective_lpips,0.03142245165508935,8,8,lower,mean over 8/8 valid scene rows
glossy_synthetic,test,rough_only,valid_pair_count,10.0,8,8,count,mean over 8/8 valid scene rows
glossy_synthetic,test,rough_only,num_pairs,10.0,8,8,count,mean over 8/8 valid scene rows
glossy_synthetic,test,rough_only,num_images,16.0,8,8,count,mean over 8/8 valid scene rows
shiny_blender_synthetic,train,base,mean_reflection_consistency,0.24635287795681504,6,6,lower,mean over 6/6 valid scene rows
shiny_blender_synthetic,train,base,reflective_region_psnr,35.264261627197264,6,6,higher,mean over 6/6 valid scene rows
shiny_blender_synthetic,train,base,full_psnr,39.93250642776489,6,6,higher,mean over 6/6 valid scene rows
shiny_blender_synthetic,train,base,full_ssim,0.9885789423187573,6,6,higher,mean over 6/6 valid scene rows
shiny_blender_synthetic,train,base,full_lpips,0.017907702014102383,6,6,lower,mean over 6/6 valid scene rows
shiny_blender_synthetic,train,base,reflective_psnr,41.460931361516316,6,6,higher,mean over 6/6 valid scene rows
shiny_blender_synthetic,train,base,reflective_ssim,0.9929498086373011,6,6,higher,mean over 6/6 valid scene rows
shiny_blender_synthetic,train,base,reflective_lpips,0.009381933400776032,6,6,lower,mean over 6/6 valid scene rows
shiny_blender_synthetic,train,base,valid_pair_count,10.0,6,6,count,mean over 6/6 valid scene rows
shiny_blender_synthetic,train,rc,mean_reflection_consistency,0.09923632875240092,6,6,lower,mean over 6/6 valid scene rows
shiny_blender_synthetic,train,rc,reflective_region_psnr,35.44624354044596,6,6,higher,mean over 6/6 valid scene rows
shiny_blender_synthetic,train,rc,full_psnr,39.997352027893065,6,6,higher,mean over 6/6 valid scene rows
shiny_blender_synthetic,train,rc,full_ssim,0.9885230180621147,6,6,higher,mean over 6/6 valid scene rows
shiny_blender_synthetic,train,rc,full_lpips,0.018059345418102217,6,6,lower,mean over 6/6 valid scene rows
shiny_blender_synthetic,train,rc,reflective_psnr,41.4055595556895,6,6,higher,mean over 6/6 valid scene rows
shiny_blender_synthetic,train,rc,reflective_ssim,0.9927345309654871,6,6,higher,mean over 6/6 valid scene rows
shiny_blender_synthetic,train,rc,reflective_lpips,0.010082604786051233,6,6,lower,mean over 6/6 valid scene rows
shiny_blender_synthetic,train,rc,valid_pair_count,10.0,6,6,count,mean over 6/6 valid scene rows
shiny_blender_synthetic,train,wo_ref,mean_reflection_consistency,0.21180515233427286,6,6,lower,mean over 6/6 valid scene rows
shiny_blender_synthetic,train,wo_ref,reflective_region_psnr,35.50198593139648,6,6,higher,mean over 6/6 valid scene rows
shiny_blender_synthetic,train,wo_ref,full_psnr,39.9741341304779,6,6,higher,mean over 6/6 valid scene rows
shiny_blender_synthetic,train,wo_ref,full_ssim,0.9885532344381014,6,6,higher,mean over 6/6 valid scene rows
shiny_blender_synthetic,train,wo_ref,full_lpips,0.018039178367374266,6,6,lower,mean over 6/6 valid scene rows
shiny_blender_synthetic,train,wo_ref,reflective_psnr,41.602831020355225,6,6,higher,mean over 6/6 valid scene rows
shiny_blender_synthetic,train,wo_ref,reflective_ssim,0.9929313226540883,6,6,higher,mean over 6/6 valid scene rows
shiny_blender_synthetic,train,wo_ref,reflective_lpips,0.009892355656387084,6,6,lower,mean over 6/6 valid scene rows
shiny_blender_synthetic,train,wo_ref,valid_pair_count,10.0,6,6,count,mean over 6/6 valid scene rows
shiny_blender_synthetic,train,wo_ref,num_pairs,10.0,6,6,count,mean over 6/6 valid scene rows
shiny_blender_synthetic,train,wo_ref,num_images,100.0,6,6,count,mean over 6/6 valid scene rows
