dataset,split,method,metric,mean_value,valid_n,total_scene_count,metric_direction,note
shiny_blender_synthetic,test,base,reflective_ssim,0.9843464319904646,6,6,higher,mean over 6/6 valid scene rows
shiny_blender_synthetic,test,base,reflective_lpips,0.017286063092227133,6,6,lower,mean over 6/6 valid scene rows
shiny_blender_synthetic,test,base,valid_pair_count,10.0,6,6,count,mean over 6/6 valid scene rows
shiny_blender_synthetic,test,rc,mean_reflection_consistency,0.033585937484167445,6,6,lower,mean over 6/6 valid scene rows
shiny_blender_synthetic,test,rc,reflective_region_psnr,31.13203713099162,6,6,higher,mean over 6/6 valid scene rows
shiny_blender_synthetic,test,rc,full_psnr,35.73115963459015,6,6,higher,mean over 6/6 valid scene rows
shiny_blender_synthetic,test,rc,full_ssim,0.9770287356277306,6,6,higher,mean over 6/6 valid scene rows
shiny_blender_synthetic,test,rc,full_lpips,0.02950794291959022,6,6,lower,mean over 6/6 valid scene rows
shiny_blender_synthetic,test,rc,reflective_psnr,36.86138063589732,6,6,higher,mean over 6/6 valid scene rows
shiny_blender_synthetic,test,rc,reflective_ssim,0.9841835685571034,6,6,higher,mean over 6/6 valid scene rows
shiny_blender_synthetic,test,rc,reflective_lpips,0.018261763436651816,6,6,lower,mean over 6/6 valid scene rows
shiny_blender_synthetic,test,rc,valid_pair_count,10.0,6,6,count,mean over 6/6 valid scene rows
